 ordergroup |  ordergroupmember   |    dest    |   source   |   orderplacedate    |    departuredate    |    deliverydate     |      arrivdate      | totalleadtime | transitdur | unloaddur | needcovdur | mincovdur |    finalcovdate     |     mincovdate      |     needcovdate     | finalcovdur | delaydur | status | orderskucount | orderskusoqcount | networkmincovdur |  networkmincovdate  |     createdate      | maxcovdur | orderbuildrule | duestatus | networkminstatus | loadsolutionstatus | loadstatus | approvalstatus | precisionbuildsw | ordertype | transmode  | ordergroupparam | ordergroupbuildrule | precisionloadsw | vehicleloadcount | lanetype 
------------+---------------------+------------+------------+---------------------+---------------------+---------------------+---------------------+---------------+------------+-----------+------------+-----------+---------------------+---------------------+---------------------+-------------+----------+--------+---------------+------------------+------------------+---------------------+---------------------+-----------+----------------+-----------+------------------+--------------------+------------+----------------+------------------+-----------+------------+-----------------+---------------------+-----------------+------------------+----------
 14428008   |                     | 14417313   | 3187054250 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 | 2006-11-03 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00 |       10080 |   -11520 |      4 |             6 |                6 |            10080 | 2006-11-10 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              1 |                0 |         1 | 2156130192 |                 |                   1 |               0 |                1 |        2
 14428008   | OOPT-FBK414.21-OGM1 | 14417313   | 3187054250 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 | 2006-11-03 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00 |       10080 |   -11520 |      4 |             3 |                3 |            10080 | 2006-11-10 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              1 |                0 |         1 | 2156130192 |                 |                   1 |               0 |                0 |        3
 14428008   | OOPT-FBK414.21-OGM2 | 14417313   | 3187054250 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 | 2006-11-03 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00 |       10080 |   -11520 |      4 |             3 |                3 |            10080 | 2006-11-10 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              1 |                0 |         1 | 2156130192 |                 |                   1 |               0 |                0 |        3
 15351529   |                     | 15340834   | 3187084041 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 | 2006-11-02 00:00:00 | 2006-11-02 00:00:00 |          1440 |       1440 |         0 |       7200 |      7200 | 2006-11-07 00:00:00 | 2006-11-07 00:00:00 | 2006-11-07 00:00:00 |        7200 |    -7200 |      4 |             3 |                3 |             7200 | 2006-11-07 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              1 |                0 |         1 | 1645596017 |                 |                   1 |               0 |                1 |        2
 15351529   | OOPT-FBK414.22-OGM2 | 15340834   | 3187084041 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 | 2006-11-02 00:00:00 | 2006-11-02 00:00:00 |          1440 |       1440 |         0 |       7200 |      7200 | 2006-11-07 00:00:00 | 2006-11-07 00:00:00 | 2006-11-07 00:00:00 |        7200 |    -7200 |      4 |             3 |                3 |             7200 | 2006-11-07 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              1 |                0 |         1 | 1645596017 |                 |                   1 |               0 |                0 |        3
 4252137000 |                     | 4252126305 | 3185207208 | 2006-10-31 00:00:00 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 | 2006-11-02 00:00:00 |          2880 |       2880 |         0 |       1440 |      1440 | 2006-11-03 00:00:00 | 2006-11-03 00:00:00 | 2006-11-03 00:00:00 |        1440 |        0 |      4 |             6 |                6 |             1440 | 2006-11-03 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              1 |                0 |         1 | 3744478094 |                 |                   1 |               0 |                1 |        2
 4252137000 |                     | 4252126305 | 3185207208 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 | 2006-11-03 00:00:00 |          2880 |       2880 |         0 |       1440 |      1440 | 2006-11-04 00:00:00 | 2006-11-04 00:00:00 | 2006-11-04 00:00:00 |        1440 |        0 |      4 |             6 |                6 |             1440 | 2006-11-04 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              1 |                0 |         1 | 3744478094 |                 |                   1 |               0 |                1 |        2
 4252137000 |                     | 4252126305 | 3185207208 | 2006-11-02 00:00:00 | 2006-11-02 00:00:00 | 2006-11-04 00:00:00 | 2006-11-04 00:00:00 |          2880 |       2880 |         0 |       1440 |      1440 | 2006-11-05 00:00:00 | 2006-11-05 00:00:00 | 2006-11-05 00:00:00 |        1440 |        0 |      4 |             6 |                6 |             1440 | 2006-11-05 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              1 |                0 |         1 | 3744478094 |                 |                   1 |               0 |                1 |        2
 4252137000 | OOPT-FBK414.01-OGM1 | 4252126305 | 3185207208 | 2006-10-31 00:00:00 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 | 2006-11-02 00:00:00 |          2880 |       2880 |         0 |       1440 |      1440 | 2006-11-03 00:00:00 | 2006-11-03 00:00:00 | 2006-11-03 00:00:00 |        1440 |        0 |      4 |             3 |                3 |             1440 | 2006-11-03 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              1 |                0 |         1 | 3744478094 |                 |                   1 |               0 |                0 |        3
