    item    |    dest    | adjskucovdur | arrivcovdur |   avgreplenqty   |    deliverydate     |    departuredate    | loaddur | precisionbuildsw | precisionloadsw |    stocklowdate     | stocklowdur |    stockoutdate     | stockoutdur | stockoutqty | stocklowqty |  sysorderpointdate  | sysorderuptoleveldate | totalleadtime | transitdur | unloaddur 
------------+------------+--------------+-------------+------------------+---------------------+---------------------+---------+------------------+-----------------+---------------------+-------------+---------------------+-------------+-------------+-------------+---------------------+-----------------------+---------------+------------+-----------
 1072579906 | 4252126305 |         1440 |        2880 |               10 | 2006-11-02 00:00:00 | 2006-10-31 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-04 00:00:00 |           0 |           0 |          10 | 2006-11-04 00:00:00 | 2006-11-04 00:00:00   |          2880 |       2880 |         0
 1072579906 | 4252126305 |         1440 |        2880 |               10 | 2006-11-03 00:00:00 | 2006-11-01 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-05 00:00:00 |           0 |           0 |          10 | 2006-11-05 00:00:00 | 2006-11-05 00:00:00   |          2880 |       2880 |         0
 1072579906 | 4252126305 |         1440 |        2880 |               10 | 2006-11-04 00:00:00 | 2006-11-02 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-06 00:00:00 |           0 |           0 |          10 | 2006-11-06 00:00:00 | 2006-11-06 00:00:00   |          2880 |       2880 |         0
 1072579907 | 4252126305 |         1440 |        6400 |                2 | 2006-11-02 00:00:00 | 2006-10-31 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-06 10:40:00 |           0 |           0 |          10 | 2006-11-06 10:40:00 | 2006-11-06 10:40:00   |          2880 |       2880 |         0
 1072579907 | 4252126305 |         1440 |        5280 |                2 | 2006-11-03 00:00:00 | 2006-11-01 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-06 16:00:00 |           0 |           0 |          10 | 2006-11-06 16:00:00 | 2006-11-06 16:00:00   |          2880 |       2880 |         0
 1072579907 | 4252126305 |         1440 |        4160 |                2 | 2006-11-04 00:00:00 | 2006-11-02 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-06 21:20:00 |           0 |           0 |          10 | 2006-11-06 21:20:00 | 2006-11-06 21:20:00   |          2880 |       2880 |         0
 1072579908 | 4252126305 |         1440 |        3040 |                9 | 2006-11-02 00:00:00 | 2006-10-31 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-04 02:40:00 |           0 |           0 |          10 | 2006-11-04 02:40:00 | 2006-11-04 02:40:00   |          2880 |       2880 |         0
 1072579908 | 4252126305 |         1440 |        3040 |                9 | 2006-11-03 00:00:00 | 2006-11-01 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-05 02:40:00 |           0 |           0 |          10 | 2006-11-05 02:40:00 | 2006-11-05 02:40:00   |          2880 |       2880 |         0
 1072579908 | 4252126305 |         1440 |        3253 |                9 | 2006-11-04 00:00:00 | 2006-11-02 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-06 06:13:00 |           0 |           0 |          10 | 2006-11-06 06:13:00 | 2006-11-06 06:13:00   |          2880 |       2880 |         0
 1072579909 | 4252126305 |         1440 |        4320 |                5 | 2006-11-02 00:00:00 | 2006-10-31 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-05 00:00:00 |           0 |           0 |          10 | 2006-11-05 00:00:00 | 2006-11-05 00:00:00   |          2880 |       2880 |         0
 1072579909 | 4252126305 |         1440 |        4320 |                5 | 2006-11-03 00:00:00 | 2006-11-01 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-06 00:00:00 |           0 |           0 |          10 | 2006-11-06 00:00:00 | 2006-11-06 00:00:00   |          2880 |       2880 |         0
 1072579909 | 4252126305 |         1440 |        3780 |                5 | 2006-11-04 00:00:00 | 2006-11-02 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-06 15:00:00 |           0 |           0 |          10 | 2006-11-06 15:00:00 | 2006-11-06 15:00:00   |          2880 |       2880 |         0
 1072579910 | 4252126305 |         1440 |        7200 |                2 | 2006-11-02 00:00:00 | 2006-10-31 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-07 00:00:00 |           0 |           0 |          10 | 2006-11-07 00:00:00 | 2006-11-07 00:00:00   |          2880 |       2880 |         0
 1072579910 | 4252126305 |         1440 |        6480 |                2 | 2006-11-03 00:00:00 | 2006-11-01 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-07 12:00:00 |           0 |           0 |          10 | 2006-11-07 12:00:00 | 2006-11-07 12:00:00   |          2880 |       2880 |         0
 1072579910 | 4252126305 |         1440 |        5760 |                2 | 2006-11-04 00:00:00 | 2006-11-02 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-08 00:00:00 |           0 |           0 |          10 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00   |          2880 |       2880 |         0
 1072579911 | 4252126305 |         1440 |        5040 |                4 | 2006-11-02 00:00:00 | 2006-10-31 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-05 12:00:00 |           0 |           0 |          10 | 2006-11-05 12:00:00 | 2006-11-05 12:00:00   |          2880 |       2880 |         0
 1072579911 | 4252126305 |         1440 |        5760 |                4 | 2006-11-03 00:00:00 | 2006-11-01 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-07 00:00:00 |           0 |           0 |          10 | 2006-11-07 00:00:00 | 2006-11-07 00:00:00   |          2880 |       2880 |         0
 1072579911 | 4252126305 |         1440 |        7200 |                4 | 2006-11-04 00:00:00 | 2006-11-02 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-09 00:00:00 |           0 |           0 |          10 | 2006-11-09 00:00:00 | 2006-11-09 00:00:00   |          2880 |       2880 |         0
 1072580867 | 4253049826 |         1440 |        1440 |               10 | 2006-11-02 00:00:00 | 2006-10-31 00:00:00 |       0 |                0 |               0 | 2006-11-03 00:00:00 |           0 | 2006-11-03 00:00:00 |           0 |           0 |           0 | 2006-11-03 00:00:00 | 2006-11-03 00:00:00   |          2880 |       2880 |         0
 1072580867 | 4253049826 |         1440 |        1440 |               10 | 2006-11-03 00:00:00 | 2006-11-01 00:00:00 |       0 |                0 |               0 | 2006-11-04 00:00:00 |           0 | 2006-11-04 00:00:00 |           0 |           0 |           0 | 2006-11-04 00:00:00 | 2006-11-04 00:00:00   |          2880 |       2880 |         0
