    item    |   source   |    dest    | qty | unroundedqty |   uom    | ordergroup |  ordergroupmember   
------------+------------+------------+-----+--------------+----------+------------+---------------------
 1072639488 | 3187054250 | 14417313   |  88 |           88 | 41421002 | 14428008   | OOPT-FBK414.21-OGM1
 1072639489 | 3187054250 | 14417313   |  52 |           52 | 41421002 | 14428008   | OOPT-FBK414.21-OGM1
 1072639490 | 3187054250 | 14417313   |  53 |   52.4285714 | 41421002 | 14428008   | OOPT-FBK414.21-OGM1
 1072639491 | 3187054250 | 14417313   |  57 |           57 | 41421002 | 14428008   | OOPT-FBK414.21-OGM2
 1072639492 | 3187054250 | 14417313   |  32 |           32 | 41421002 | 14428008   | OOPT-FBK414.21-OGM2
 1072639493 | 3187054250 | 14417313   |  30 |           30 | 41421002 | 14428008   | OOPT-FBK414.21-OGM2
 1072640452 | 3187084041 | 15340834   |  38 |           38 | 41422002 | 15351529   | OOPT-FBK414.22-OGM2
 1072640453 | 3187084041 | 15340834   |  22 |           22 | 41422002 | 15351529   | OOPT-FBK414.22-OGM2
 1072640454 | 3187084041 | 15340834   |  28 |           28 | 41422002 | 15351529   | OOPT-FBK414.22-OGM2
 1072579906 | 3185207208 | 4252126305 |  10 |           10 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM1
 1072579906 | 3185207208 | 4252126305 |  10 |           10 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM1
 1072579906 | 3185207208 | 4252126305 |  10 |           10 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM1
 1072579907 | 3185207208 | 4252126305 |   2 |            2 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM1
 1072579907 | 3185207208 | 4252126305 |   2 |            2 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM1
 1072579907 | 3185207208 | 4252126305 |   2 |            2 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM1
 1072579908 | 3185207208 | 4252126305 |   9 |            9 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM1
 1072579908 | 3185207208 | 4252126305 |   9 |            9 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM1
 1072579908 | 3185207208 | 4252126305 |   9 |            9 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM1
 1072579909 | 3185207208 | 4252126305 |   5 |            5 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM2
 1072579909 | 3185207208 | 4252126305 |   5 |            5 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM2
 1072579909 | 3185207208 | 4252126305 |   5 |            5 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM2
 1072579910 | 3185207208 | 4252126305 |   2 |            2 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM2
 1072579910 | 3185207208 | 4252126305 |   2 |            2 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM2
 1072579910 | 3185207208 | 4252126305 |   2 |            2 | 41401002 | 4252137000 | OOPT-FBK414.01-OGM2
