 ordergroup |  ordergroupmember   |   uom    | qty | unroundedqty | type |   source   |    dest    
------------+---------------------+----------+-----+--------------+------+------------+------------
 14428008   |                     | 41421002 | 312 |  311.4285714 |    1 | 3187054250 | 14417313
 14428008   |                     | 41421002 | 312 |  311.4285714 |    2 | 3187054250 | 14417313
 14428008   |                     | 41421002 | 312 |  311.4285714 |    3 | 3187054250 | 14417313
 14428008   | OOPT-FBK414.21-OGM1 | 41421002 | 193 |  192.4285714 |    1 | 3187054250 | 14417313
 14428008   | OOPT-FBK414.21-OGM1 | 41421002 | 193 |  192.4285714 |    2 | 3187054250 | 14417313
 14428008   | OOPT-FBK414.21-OGM1 | 41421002 | 193 |  192.4285714 |    3 | 3187054250 | 14417313
 14428008   | OOPT-FBK414.21-OGM2 | 41421002 | 119 |          119 |    1 | 3187054250 | 14417313
 14428008   | OOPT-FBK414.21-OGM2 | 41421002 | 119 |          119 |    2 | 3187054250 | 14417313
 14428008   | OOPT-FBK414.21-OGM2 | 41421002 | 119 |          119 |    3 | 3187054250 | 14417313
 15351529   |                     | 41422002 |  88 |           88 |    1 | 3187084041 | 15340834
 15351529   |                     | 41422002 |  88 |           88 |    2 | 3187084041 | 15340834
 15351529   |                     | 41422002 |  88 |           88 |    3 | 3187084041 | 15340834
 15351529   | OOPT-FBK414.22-OGM2 | 41422002 |  88 |           88 |    1 | 3187084041 | 15340834
 15351529   | OOPT-FBK414.22-OGM2 | 41422002 |  88 |           88 |    2 | 3187084041 | 15340834
 15351529   | OOPT-FBK414.22-OGM2 | 41422002 |  88 |           88 |    3 | 3187084041 | 15340834
 4252137000 |                     | 41401002 |  32 |           32 |    1 | 3185207208 | 4252126305
 4252137000 |                     | 41401002 |  32 |           32 |    2 | 3185207208 | 4252126305
 4252137000 |                     | 41401002 |  32 |           32 |    3 | 3185207208 | 4252126305
 4252137000 |                     | 41401002 |  32 |           32 |    1 | 3185207208 | 4252126305
 4252137000 |                     | 41401002 |  32 |           32 |    2 | 3185207208 | 4252126305
 4252137000 |                     | 41401002 |  32 |           32 |    3 | 3185207208 | 4252126305
 4252137000 |                     | 41401002 |  32 |           32 |    1 | 3185207208 | 4252126305
 4252137000 |                     | 41401002 |  32 |           32 |    2 | 3185207208 | 4252126305
 4252137000 |                     | 41401002 |  32 |           32 |    3 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM1 | 41401002 |  21 |           21 |    1 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM1 | 41401002 |  21 |           21 |    2 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM1 | 41401002 |  21 |           21 |    3 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM1 | 41401002 |  21 |           21 |    1 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM1 | 41401002 |  21 |           21 |    2 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM1 | 41401002 |  21 |           21 |    3 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM1 | 41401002 |  21 |           21 |    1 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM1 | 41401002 |  21 |           21 |    2 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM1 | 41401002 |  21 |           21 |    3 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM2 | 41401002 |  11 |           11 |    1 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM2 | 41401002 |  11 |           11 |    2 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM2 | 41401002 |  11 |           11 |    3 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM2 | 41401002 |  11 |           11 |    1 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM2 | 41401002 |  11 |           11 |    2 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM2 | 41401002 |  11 |           11 |    3 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM2 | 41401002 |  11 |           11 |    1 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM2 | 41401002 |  11 |           11 |    2 | 3185207208 | 4252126305
 4252137000 | OOPT-FBK414.01-OGM2 | 41401002 |  11 |           11 |    3 | 3185207208 | 4252126305
 4253060521 |                     | 41402002 |  18 |           18 |    1 | 3185236999 | 4253049826
 4253060521 |                     | 41402002 |  18 |           18 |    2 | 3185236999 | 4253049826
 4253060521 |                     | 41402002 |  18 |           18 |    3 | 3185236999 | 4253049826
 4253060521 |                     | 41402002 |  32 |           32 |    1 | 3185236999 | 4253049826
 4253060521 |                     | 41402002 |  32 |           32 |    2 | 3185236999 | 4253049826
