 ordergroup | transmode  |      shipdate       |      arrivdate      | sourcestatus | deststatus | lbstatus | statusdesc | lbsource | vendorminmetsw | transmodeminmetsw | tolerancecapmetsw | maxcapacitymetsw | orderoptseqnum | maxcapacityexceededsw | approvalstatus | descr 
------------+------------+---------------------+---------------------+--------------+------------+----------+------------+----------+----------------+-------------------+-------------------+------------------+----------------+-----------------------+----------------+-------
 14428008   | 2156130192 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 15351529   | 1645596017 | 2006-11-01 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4252137000 | 3744478094 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4252137000 | 3744478094 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4252137000 | 3744478094 | 2006-11-02 00:00:00 | 2006-11-04 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4253060521 | 3233943917 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4253060521 | 3233943917 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4253060521 | 3233943917 | 2006-11-02 00:00:00 | 2006-11-04 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4253984042 | 2723409740 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4253984042 | 2723409740 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4253984042 | 2723409740 | 2006-11-02 00:00:00 | 2006-11-04 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4254907563 | 2212875563 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4255831084 | 1702341388 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4255831084 | 1702341388 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4255831084 | 1702341388 | 2006-11-02 00:00:00 | 2006-11-04 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4256754605 | 1191807211 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4256754605 | 1191807211 | 2006-11-02 00:00:00 | 2006-11-04 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4258601647 | 170738857  | 2006-11-01 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4259525168 | 3955171974 | 2006-10-31 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4259525168 | 3955171974 | 2006-11-01 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4259525168 | 3955171974 | 2006-11-02 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4279842630 | 1313354674 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4279842630 | 1313354674 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4279842630 | 1313354674 | 2006-11-02 00:00:00 | 2006-11-04 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4280766151 | 802820497  | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4280766151 | 802820497  | 2006-11-02 00:00:00 | 2006-11-04 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4281689672 | 292286320  | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4281689672 | 292286320  | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4281689672 | 292286320  | 2006-11-02 00:00:00 | 2006-11-04 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4282613193 | 4076719437 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4282613193 | 4076719437 | 2006-11-02 00:00:00 | 2006-11-04 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4283536714 | 3566185260 | 2006-11-02 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4283536715 | 3566185261 | 2006-10-31 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4283536716 | 3566185262 | 2006-11-01 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4284460236 | 3055651084 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4284460237 | 3055651085 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4285383756 | 2545116906 | 2006-11-02 00:00:00 | 2006-11-04 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4286307277 | 2034582731 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4286307277 | 2034582731 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4286307277 | 2034582731 | 2006-11-02 00:00:00 | 2006-11-04 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4287230798 | 1524048554 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4287230798 | 1524048554 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4287230798 | 1524048554 | 2006-11-02 00:00:00 | 2006-11-04 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4288154319 | 1013514377 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4288154319 | 1013514377 | 2006-11-01 00:00:00 | 2006-11-03 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 4288154319 | 1013514377 | 2006-11-02 00:00:00 | 2006-11-04 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
(46 rows)

