 ordergroup |    item    |   source   |    dest    | qty | loadlineid | primaryitem |       expdate       |      sourcing      |    schedshipdate    |   schedarrivdate    | lbsource 
------------+------------+------------+------------+-----+------------+-------------+---------------------+--------------------+---------------------+---------------------+----------
 4252137000 | 1072579906 | 3185207208 | 4252126305 |  10 |          1 | 1072579906  | 4011-07-14 01:04:00 | SOURCING3744478094 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |        6
 4252137000 | 1072579907 | 3185207208 | 4252126305 |   2 |          2 | 1072579907  | 4011-07-14 01:04:00 | SOURCING3744478094 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |        6
 4252137000 | 1072579908 | 3185207208 | 4252126305 |   9 |          3 | 1072579908  | 4011-07-14 01:04:00 | SOURCING3744478094 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |        6
 4252137000 | 1072579909 | 3185207208 | 4252126305 |   5 |          4 | 1072579909  | 4011-07-14 01:04:00 | SOURCING3744478094 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |        6
 4252137000 | 1072579910 | 3185207208 | 4252126305 |   2 |          5 | 1072579910  | 4011-07-14 01:04:00 | SOURCING3744478094 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |        6
 4252137000 | 1072579911 | 3185207208 | 4252126305 |   4 |          6 | 1072579911  | 4011-07-14 01:04:00 | SOURCING3744478094 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |        6
 4253060521 | 1072580867 | 3185236999 | 4253049826 |  10 |          1 | 1072580867  | 4011-07-14 01:04:00 | SOURCING3233943917 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |        6
 4253060521 | 1072580868 | 3185236999 | 4253049826 |   2 |          3 | 1072580868  | 4011-07-14 01:04:00 | SOURCING3233943917 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |        6
 4253060521 | 1072580871 | 3185236999 | 4253049826 |   2 |          2 | 1072580871  | 4011-07-14 01:04:00 | SOURCING3233943917 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |        6
 4253060521 | 1072580872 | 3185236999 | 4253049826 |   4 |          4 | 1072580872  | 4011-07-14 01:04:00 | SOURCING3233943917 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |        6
 4253984042 | 1072581828 | 3185266790 | 4253973347 |  10 |          1 | 1072581828  | 4011-07-14 01:04:00 | SOURCING2723409740 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |        6
 4253984042 | 1072581831 | 3185266790 | 4253973347 |   5 |          2 | 1072581831  | 4011-07-14 01:04:00 | SOURCING2723409740 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |        6
 4253984042 | 1072581832 | 3185266790 | 4253973347 |   2 |          3 | 1072581832  | 4011-07-14 01:04:00 | SOURCING2723409740 | 2006-10-31 00:00:00 | 2006-11-02 00:00:00 |        6
