 ordergroup | transmode  | qty |   uom    
------------+------------+-----+----------
 14428008   | 2156130192 | 312 | 41421002
 15351529   | 1645596017 |  88 | 41422002
 4252137000 | 3744478094 |  32 | 41401002
 4252137000 | 3744478094 |  32 | 41401002
 4252137000 | 3744478094 |  32 | 41401002
 4253060521 | 3233943917 |  18 | 41402002
 4253060521 | 3233943917 |  32 | 41402002
 4253060521 | 3233943917 |  26 | 41402002
 4253984042 | 2723409740 |  21 | 41403002
 4253984042 | 2723409740 |  21 | 41403002
 4253984042 | 2723409740 |  21 | 41403002
 4254907563 | 2212875563 |  31 | 41404002
 4255831084 | 1702341388 |  21 | 41405002
 4255831084 | 1702341388 |  29 | 41405002
 4255831084 | 1702341388 |  11 | 41405002
 4256754605 | 1191807211 |  44 | 41406002
 4256754605 | 1191807211 |  44 | 41406002
 4258601647 | 170738857  | 128 | 41408002
 4259525168 | 3955171974 |  21 | 41409002
 4259525168 | 3955171974 |  21 | 41409002
 4259525168 | 3955171974 |  21 | 41409002
 4279842630 | 1313354674 |  21 | 41410002
 4279842630 | 1313354674 |  41 | 41410002
 4279842630 | 1313354674 |  11 | 41410002
 4280766151 | 802820497  |  32 | 41411002
 4280766151 | 802820497  |  32 | 41411002
 4281689672 | 292286320  |  32 | 41412002
 4281689672 | 292286320  |  32 | 41412002
 4281689672 | 292286320  |  32 | 41412002
 4282613193 | 4076719437 |  32 | 41413002
 4282613193 | 4076719437 |  32 | 41413002
 4283536714 | 3566185260 |  36 | 41414002
 4283536715 | 3566185261 |  62 | 41414002
 4283536716 | 3566185262 |  38 | 41414002
 4284460236 | 3055651084 |  34 | 41415002
 4284460237 | 3055651085 |  26 | 41415002
 4285383756 | 2545116906 |  92 | 41416002
 4286307277 | 2034582731 |  15 | 41417002
 4286307277 | 2034582731 |  45 | 41417002
 4286307277 | 2034582731 |  17 | 41417002
 4287230798 | 1524048554 |  92 | 41418002
 4287230798 | 1524048554 |  92 | 41418002
 4287230798 | 1524048554 |  92 | 41418002
 4288154319 | 1013514377 |  32 | 41419002
 4288154319 | 1013514377 |  32 | 41419002
 4288154319 | 1013514377 |  32 | 41419002
(46 rows)

