 ordergroup |  ordergroupmember   |   dest    |   source   |   orderplacedate    |    departuredate    |    deliverydate     |      arrivdate      | totalleadtime | transitdur | unloaddur | needcovdur | mincovdur |    finalcovdate     |     mincovdate      |     needcovdate     | finalcovdur | delaydur | status | orderskucount | orderskusoqcount | networkmincovdur |  networkmincovdate  | maxcovdur | orderbuildrule | duestatus | networkminstatus | loadsolutionstatus | loadstatus | approvalstatus | precisionbuildsw | ordertype | transmode  | ordergroupparam | ordergroupbuildrule | precisionloadsw | vehicleloadcount | lanetype 
------------+---------------------+-----------+------------+---------------------+---------------------+---------------------+---------------------+---------------+------------+-----------+------------+-----------+---------------------+---------------------+---------------------+-------------+----------+--------+---------------+------------------+------------------+---------------------+-----------+----------------+-----------+------------------+--------------------+------------+----------------+------------------+-----------+------------+-----------------+---------------------+-----------------+------------------+----------
 700021748  |                     | 700011053 | 4179001502 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-10 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       12960 |        0 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              2 |                0 |         1 | 2599455620 |                 |                   1 |               0 |                1 |        2
 700021748  | OOPT-DCR100.01-OGM1 | 700011053 | 4179001502 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-10 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       12960 |        0 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 2599455620 |                 |                   1 |               0 |                0 |        3
 700945269  |                     | 700934574 | 4179031293 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |        0 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              2 |                0 |         1 | 2088921445 |                 |                   1 |               0 |                1 |        2
 700945269  | OOPT-DCR100.02-OGM1 | 700934574 | 4179031293 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |        0 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 2088921445 |                 |                   1 |               0 |                0 |        3
 701868790  |                     | 701858095 | 4179061084 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |   -11520 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              2 |                0 |         1 | 1578387268 |                 |                   1 |               0 |                2 |        2
 701868790  | OOPT-DCR100.03-OGM1 | 701858095 | 4179061084 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |   -11520 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 1578387268 |                 |                   1 |               0 |                0 |        3
 702792311  |                     | 702781616 | 4179090875 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-09 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       11520 |   -11520 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              2 |                0 |         1 | 1067853091 |                 |                   1 |               0 |                1 |        2
 702792311  | OOPT-DCR100.04-OGM1 | 702781616 | 4179090875 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-09 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       11520 |   -11520 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 1067853091 |                 |                   1 |               0 |                0 |        3
 703715832  |                     | 703705137 | 4179120666 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-15 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       20160 |   -11520 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              2 |                0 |         1 | 557318914  |                 |                   1 |               0 |                2 |        2
 703715832  | OOPT-DCR100.05-OGM1 | 703705137 | 4179120666 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-15 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       20160 |   -11520 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 557318914  |                 |                   1 |               0 |                0 |        3
 704639353  |                     | 704628658 | 4179150457 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |        0 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              2 |                0 |         1 | 46784737   |                 |                   1 |               0 |                1 |        2
 704639353  | OOPT-DCR100.06-OGM1 | 704628658 | 4179150457 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |        0 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 46784737   |                 |                   1 |               0 |                0 |        3
 705562874  |                     | 705552179 | 4179180248 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-13 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       17280 |   -11520 |      5 |             6 |                6 |            17280 | 2006-11-13 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              2 |                0 |         1 | 3831217854 |                 |                   1 |               0 |                1 |        2
 705562874  | OOPT-DCR100.07-OGM1 | 705552179 | 4179180248 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-13 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       17280 |   -11520 |      5 |             6 |                6 |            17280 | 2006-11-13 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 3831217854 |                 |                   1 |               0 |                0 |        3
 706486395  |                     | 706475700 | 4179210039 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-09 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       11520 |   -11520 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              2 |                0 |         1 | 3320683677 |                 |                   1 |               0 |                1 |        2
 706486395  | OOPT-DCR100.08-OGM1 | 706475700 | 4179210039 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-09 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       11520 |   -11520 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 3320683677 |                 |                   1 |               0 |                0 |        3
 707409916  |                     | 707399221 | 4179239830 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |       2880 |      2880 | 2006-11-03 00:00:00 | 2006-11-03 00:00:00 | 2006-11-03 00:00:00 |        2880 |        0 |      5 |             6 |                6 |             2880 | 2006-11-03 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          2 |              2 |                0 |         1 | 2810149500 |                 |                   1 |               0 |                1 |        2
 707409916  | OOPT-DCR100.09-OGM1 | 707399221 | 4179239830 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |       2880 |      2880 | 2006-11-03 00:00:00 | 2006-11-03 00:00:00 | 2006-11-03 00:00:00 |        2880 |        0 |      5 |             6 |                6 |             2880 | 2006-11-03 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 2810149500 |                 |                   1 |               0 |                0 |        3
 727727378  |                     | 727716683 | 4179895232 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |   -11520 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              2 |                0 |         1 | 168332200  |                 |                   1 |               0 |                1 |        2
 727727378  | OOPT-DCR100.10-OGM1 | 727716683 | 4179895232 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |   -11520 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 168332200  |                 |                   1 |               0 |                0 |        3
 728650899  |                     | 728640204 | 4179925023 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |        0 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              2 |                0 |         1 | 3952765317 |                 |                   1 |               0 |                2 |        2
 728650899  | OOPT-DCR100.11-OGM1 | 728640204 | 4179925023 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |        0 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 3952765317 |                 |                   1 |               0 |                0 |        3
 729574420  |                     | 729563725 | 4179954814 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |        0 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              2 |                0 |         1 | 3442231140 |                 |                   1 |               0 |                1 |        2
 729574420  | OOPT-DCR100.12-OGM1 | 729563725 | 4179954814 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |        0 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 3442231140 |                 |                   1 |               0 |                0 |        3
 730497941  |                     | 730487246 | 4179984605 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |        0 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              2 |                0 |         1 | 2931696963 |                 |                   1 |               0 |                1 |        2
 730497941  | OOPT-DCR100.13-OGM1 | 730487246 | 4179984605 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |        0 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 2931696963 |                 |                   1 |               0 |                0 |        3
 731421462  |                     | 731410767 | 4180014396 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |        0 |      5 |             6 |                6 |            10080 | 2006-11-08 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              2 |                0 |         1 | 2421162786 |                 |                   1 |               0 |                1 |        2
