    item    |   dest    | adjskucovdur | arrivcovdur |   avgreplenqty   |    deliverydate     |    departuredate    | loaddur | precisionbuildsw | precisionloadsw |    stocklowdate     | stocklowdur |    stockoutdate     | stockoutdur | stockoutqty | stocklowqty |  sysorderpointdate  | sysorderuptoleveldate | totalleadtime | transitdur | unloaddur 
------------+-----------+--------------+-------------+------------------+---------------------+---------------------+---------+------------------+-----------------+---------------------+-------------+---------------------+-------------+-------------+-------------+---------------------+-----------------------+---------------+------------+-----------
 2767205770 | 700011053 |        10080 |       12960 |               74 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-11-10 00:00:00 |           0 | 2006-11-10 00:00:00 |           0 |           0 |           0 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00   |          2880 |       2880 |         0
 2767205771 | 700011053 |        10080 |       12960 |               28 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-11-10 00:00:00 |           0 | 2006-11-10 00:00:00 |           0 |           0 |           0 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00   |          2880 |       2880 |         0
 2767205772 | 700011053 |        10080 |       12960 |               51 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-11-10 00:00:00 |           0 | 2006-11-10 00:00:00 |           0 |           0 |           0 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00   |          2880 |       2880 |         0
 2767205773 | 700011053 |        10080 |       12960 |               41 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-11-10 00:00:00 |           0 | 2006-11-10 00:00:00 |           0 |           0 |           0 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00   |          2880 |       2880 |         0
 2767205774 | 700011053 |        10080 |       12960 |               18 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-11-10 00:00:00 |           0 | 2006-11-10 00:00:00 |           0 |           0 |           0 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00   |          2880 |       2880 |         0
 2767205775 | 700011053 |        10080 |       12960 |               24 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-11-10 00:00:00 |           0 | 2006-11-10 00:00:00 |           0 |           0 |           0 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00   |          2880 |       2880 |         0
 2767206731 | 700934574 |        10080 |       10080 |               74 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-11-08 00:00:00 |           0 | 2006-11-08 00:00:00 |           0 |           0 |           0 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00   |          2880 |       2880 |         0
 2767206732 | 700934574 |        10080 |       10080 |               28 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-11-08 00:00:00 |           0 | 2006-11-08 00:00:00 |           0 |           0 |           0 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00   |          2880 |       2880 |         0
 2767206733 | 700934574 |        10080 |       10080 |               51 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-11-08 00:00:00 |           0 | 2006-11-08 00:00:00 |           0 |           0 |           0 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00   |          2880 |       2880 |         0
 2767206734 | 700934574 |        10080 |       10080 |               41 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-11-08 00:00:00 |           0 | 2006-11-08 00:00:00 |           0 |           0 |           0 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00   |          2880 |       2880 |         0
 2767206735 | 700934574 |        10080 |       10080 |               18 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-11-08 00:00:00 |           0 | 2006-11-08 00:00:00 |           0 |           0 |           0 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00   |          2880 |       2880 |         0
 2767206736 | 700934574 |        10080 |       10080 |               24 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-11-08 00:00:00 |           0 | 2006-11-08 00:00:00 |           0 |           0 |           0 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00   |          2880 |       2880 |         0
 2767207692 | 701858095 |        10080 |       13200 |               74 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-10 04:00:00 |           0 |           0 |          10 | 2006-11-08 20:00:00 | 2006-11-08 20:00:00   |          2880 |       2880 |         0
 2767207693 | 701858095 |        10080 |       11680 |               28 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-09 02:40:00 |           0 |           0 |          10 | 2006-11-09 02:40:00 | 2006-11-09 02:40:00   |          2880 |       2880 |         0
 2767207694 | 701858095 |        10080 |       22720 |               51 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-16 18:40:00 |           0 |           0 |          10 | 2006-11-11 08:00:00 | 2006-11-11 08:00:00   |          2880 |       2880 |         0
 2767207695 | 701858095 |        10080 |       28388 |               41 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-20 17:08:00 |           0 |           0 |          10 | 2006-11-09 06:00:00 | 2006-11-09 06:00:00   |          2880 |       2880 |         0
 2767207696 | 701858095 |        10080 |       13680 |               18 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-10 12:00:00 |           0 |           0 |          10 | 2006-11-10 12:00:00 | 2006-11-10 12:00:00   |          2880 |       2880 |         0
 2767207697 | 701858095 |        10080 |       17280 |               24 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-13 00:00:00 |           0 |           0 |          10 | 2006-11-13 00:00:00 | 2006-11-13 00:00:00   |          2880 |       2880 |         0
 2767208653 | 702781616 |        10080 |       17541 |               74 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-11-09 00:00:00 |           0 | 2006-11-13 04:21:00 |           0 |           0 |           0 | 2006-11-13 04:21:00 | 2006-11-13 04:21:00   |          2880 |       2880 |         0
 2767208654 | 702781616 |        10080 |       24000 |               28 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-17 16:00:00 |           0 |           0 |          14 | 2006-11-17 16:00:00 | 2006-11-17 16:00:00   |          2880 |       2880 |         0
 2767208655 | 702781616 |        10080 |       23360 |               51 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-11-09 00:00:00 |           0 | 2006-11-17 05:20:00 |           0 |           0 |           0 | 2006-11-17 05:20:00 | 2006-11-17 05:20:00   |          2880 |       2880 |         0
 2767208656 | 702781616 |        10080 |       28182 |               41 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-31 00:00:00 |        1440 | 2006-11-20 13:42:00 |           0 |           0 |           5 | 2006-11-20 13:42:00 | 2006-11-20 13:42:00   |          2880 |       2880 |         0
 2767208657 | 702781616 |        10080 |       30960 |               18 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-11-22 12:00:00 |           0 |           0 |          29 | 2006-11-22 12:00:00 | 2006-11-22 12:00:00   |          2880 |       2880 |         0
