    item    |   source   |   dest    | qty  | unroundedqty |   uom    | ordergroup |  ordergroupmember   | currencysw 
------------+------------+-----------+------+--------------+----------+------------+---------------------+------------
 2767205770 | 4179001502 | 700011053 |   98 |           98 | 10001002 | 700021748  | OOPT-DCR100.01-OGM1 |          0
 2767205771 | 4179001502 | 700011053 |   46 |           46 | 10001002 | 700021748  | OOPT-DCR100.01-OGM1 |          0
 2767205772 | 4179001502 | 700011053 |   57 |           57 | 10001002 | 700021748  | OOPT-DCR100.01-OGM1 |          0
 2767205773 | 4179001502 | 700011053 |   57 |           57 | 10001002 | 700021748  | OOPT-DCR100.01-OGM1 |          0
 2767205774 | 4179001502 | 700011053 |   26 |           26 | 10001002 | 700021748  | OOPT-DCR100.01-OGM1 |          0
 2767205775 | 4179001502 | 700011053 |   28 |           28 | 10001002 | 700021748  | OOPT-DCR100.01-OGM1 |          0
 2767206731 | 4179031293 | 700934574 |   74 |           74 | 10002002 | 700945269  | OOPT-DCR100.02-OGM1 |          0
 2767206732 | 4179031293 | 700934574 |   28 |           28 | 10002002 | 700945269  | OOPT-DCR100.02-OGM1 |          0
 2767206733 | 4179031293 | 700934574 |   51 |           51 | 10002002 | 700945269  | OOPT-DCR100.02-OGM1 |          0
 2767206734 | 4179031293 | 700934574 |   41 |           41 | 10002002 | 700945269  | OOPT-DCR100.02-OGM1 |          0
 2767206735 | 4179031293 | 700934574 |   18 |           18 | 10002002 | 700945269  | OOPT-DCR100.02-OGM1 |          0
 2767206736 | 4179031293 | 700934574 |   24 |           24 | 10002002 | 700945269  | OOPT-DCR100.02-OGM1 |          0
 2767207692 | 4179061084 | 701858095 |  100 |           84 | 10003002 | 701868790  | OOPT-DCR100.03-OGM1 |          0
 2767207693 | 4179061084 | 701858095 |   38 |           38 | 10003002 | 701868790  | OOPT-DCR100.03-OGM1 |          0
 2767207694 | 4179061084 | 701858095 |  100 |           61 | 10003002 | 701868790  | OOPT-DCR100.03-OGM1 |          0
 2767207695 | 4179061084 | 701858095 |  100 |           51 | 10003002 | 701868790  | OOPT-DCR100.03-OGM1 |          0
