 ordergroup |  ordergroupmember   |   uom    |  qty  | unroundedqty | type |   source   |   dest    | currencysw 
------------+---------------------+----------+-------+--------------+------+------------+-----------+------------
 700021748  |                     | 10001002 |     0 |            0 |    1 | 4179001502 | 700011053 |          0
 700021748  |                     | 10001002 |     0 |            0 |    2 | 4179001502 | 700011053 |          0
 700021748  |                     | 10001002 |     0 |            0 |    3 | 4179001502 | 700011053 |          0
 700021748  |                     | 10001002 |   236 |          236 |  101 | 4179001502 | 700011053 |          0
 700021748  |                     | 10001002 |   236 |          236 |  102 | 4179001502 | 700011053 |          0
 700021748  |                     | 10001002 |   312 |          312 |  103 | 4179001502 | 700011053 |          0
 700021748  | OOPT-DCR100.01-OGM1 | 10001002 |   236 |          236 |    1 | 4179001502 | 700011053 |          0
 700021748  | OOPT-DCR100.01-OGM1 | 10001002 |   236 |          236 |    2 | 4179001502 | 700011053 |          0
 700021748  | OOPT-DCR100.01-OGM1 | 10001002 |   312 |          312 |    3 | 4179001502 | 700011053 |          0
 700945269  |                     | 10002002 |     0 |            0 |    1 | 4179031293 | 700934574 |          0
 700945269  |                     | 10002002 |     0 |            0 |    2 | 4179031293 | 700934574 |          0
 700945269  |                     | 10002002 |     0 |            0 |    3 | 4179031293 | 700934574 |          0
 700945269  |                     | 10002002 |   236 |          236 |  101 | 4179031293 | 700934574 |          0
 700945269  |                     | 10002002 |   236 |          236 |  102 | 4179031293 | 700934574 |          0
 700945269  |                     | 10002002 |   236 |          236 |  103 | 4179031293 | 700934574 |          0
 700945269  | OOPT-DCR100.02-OGM1 | 10002002 |   236 |          236 |    1 | 4179031293 | 700934574 |          0
 700945269  | OOPT-DCR100.02-OGM1 | 10002002 |   236 |          236 |    2 | 4179031293 | 700934574 |          0
 700945269  | OOPT-DCR100.02-OGM1 | 10002002 |   236 |          236 |    3 | 4179031293 | 700934574 |          0
 701868790  |                     | 10003002 |     0 |            0 |    1 | 4179061084 | 701858095 |          0
 701868790  |                     | 10003002 |     0 |            0 |    2 | 4179061084 | 701858095 |          0
 701868790  |                     | 10003002 |     0 |            0 |    3 | 4179061084 | 701858095 |          0
 701868790  |                     | 10003002 |   400 |          296 |  101 | 4179061084 | 701858095 |          0
 701868790  |                     | 10003002 |   400 |          296 |  102 | 4179061084 | 701858095 |          0
 701868790  |                     | 10003002 |   400 |          296 |  103 | 4179061084 | 701858095 |          0
