 ordergroup |    item    |   source   |   dest    | qty | loadlineid | primaryitem |       expdate       |      sourcing      |    schedshipdate    |   schedarrivdate    | lbsource 
------------+------------+------------+-----------+-----+------------+-------------+---------------------+--------------------+---------------------+---------------------+----------
 700021748  | 2767205770 | 4179001502 | 700011053 |  98 |          1 | 2767205770  | 4011-07-14 01:04:00 | SOURCING2599455620 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700021748  | 2767205771 | 4179001502 | 700011053 |  46 |          2 | 2767205771  | 4011-07-14 01:04:00 | SOURCING2599455620 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700021748  | 2767205772 | 4179001502 | 700011053 |  57 |          4 | 2767205772  | 4011-07-14 01:04:00 | SOURCING2599455620 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700021748  | 2767205773 | 4179001502 | 700011053 |  57 |          3 | 2767205773  | 4011-07-14 01:04:00 | SOURCING2599455620 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700021748  | 2767205774 | 4179001502 | 700011053 |  26 |          5 | 2767205774  | 4011-07-14 01:04:00 | SOURCING2599455620 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700021748  | 2767205775 | 4179001502 | 700011053 |  28 |          6 | 2767205775  | 4011-07-14 01:04:00 | SOURCING2599455620 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700945269  | 2767206731 | 4179031293 | 700934574 |  74 |          1 | 2767206731  | 4011-07-14 01:04:00 | SOURCING2088921445 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700945269  | 2767206732 | 4179031293 | 700934574 |  28 |          2 | 2767206732  | 4011-07-14 01:04:00 | SOURCING2088921445 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700945269  | 2767206733 | 4179031293 | 700934574 |  51 |          3 | 2767206733  | 4011-07-14 01:04:00 | SOURCING2088921445 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700945269  | 2767206734 | 4179031293 | 700934574 |  41 |          4 | 2767206734  | 4011-07-14 01:04:00 | SOURCING2088921445 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700945269  | 2767206735 | 4179031293 | 700934574 |  18 |          5 | 2767206735  | 4011-07-14 01:04:00 | SOURCING2088921445 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700945269  | 2767206736 | 4179031293 | 700934574 |  24 |          6 | 2767206736  | 4011-07-14 01:04:00 | SOURCING2088921445 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 701868790  | 2767207692 | 4179061084 | 701858095 | 100 |          1 | 2767207692  | 4011-07-14 01:04:00 | SOURCING0          | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 701868790  | 2767207693 | 4179061084 | 701858095 |  12 |          2 | 2767207693  | 4011-07-14 01:04:00 | SOURCING0          | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 701868790  | 2767207693 | 4179061084 | 701858095 |  26 |          3 | 2767207693  | 4011-07-14 01:04:00 | SOURCING0          | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 701868790  | 2767207694 | 4179061084 | 701858095 | 100 |          3 | 2767207694  | 4011-07-14 01:04:00 | SOURCING0          | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
