 ordergroup | transmode  |  qty  |   uom    | currencysw 
------------+------------+-------+----------+------------
 700021748  | 2599455620 |   312 | 10001002 |          0
 700945269  | 2088921445 |   236 | 10002002 |          0
 701868790  | 1578387268 |   250 | 10003002 |          0
 701868790  | 1578387268 |   150 | 10003002 |          0
 702792311  | 1067853091 |   313 | 10004002 |          0
 703715832  | 557318914  |   400 | 10005002 |          0
 703715832  | 557318914  |   398 | 10005002 |          0
 704639353  | 46784737   |   236 | 10006002 |          0
 705562874  | 3831217854 |   726 | 10007002 |          0
 706486395  | 3320683677 |   323 | 10008002 |          0
 707409916  | 2810149500 |    64 | 10009001 |          0
 727727378  | 168332200  | 204.5 | 10010002 |          0
 728650899  | 3952765317 |   248 | 10011002 |          0
 728650899  | 3952765317 |    42 | 10011002 |          0
 729574420  | 3442231140 |   236 | 10012002 |          0
 730497941  | 2931696963 |   236 | 10013002 |          0
 730497941  | 2931696963 |   236 | 10013003 |          0
 731421462  | 2421162786 |   236 | 10014002 |          0
 731421462  | 2421162786 |   236 | 10014003 |          0
 732344983  | 1910628611 |   296 | 10015002 |          0
 733268504  | 1400094434 |   296 | 10016002 |          0
 735115546  | 379026080  |   250 | 10018002 |          0
 735115546  | 379026080  |   164 | 10018002 |          0
 736039067  | 4163459197 |   250 | 10019002 |          0
 736039067  | 4163459197 |   166 | 10019002 |          0
 757280050  | 1011107720 |   250 | 10021002 |          0
 757280050  | 1011107720 |   160 | 10021002 |          0
 758203571  | 500573543  |   228 | 10022002 |          0
 759127092  | 4285006660 |   228 | 10023002 |          0
 760050613  | 3774472483 |   250 | 10024002 |          0
 760974134  | 3263938306 |   250 | 10025002 |          0
 761897655  | 2753404129 |   510 | 10026002 |          0
 762821176  | 2242869952 |   510 | 10027002 |          0
 763744697  | 1732335777 |   534 | 10028002 |          0
 764668218  | 1221801600 |   534 | 10029002 |          0
 784985680  | 2874951592 |   462 | 10030002 |          0
 785909201  | 2364417415 |   462 | 10031002 |          0
 786832722  | 1853883240 |   534 | 10032002 |          0
 787756243  | 1343349063 |   534 | 10033002 |          0
 788679764  | 832814886  |   414 | 10034002 |          0
 789603285  | 322280709  |   414 | 10035002 |          0
 790526806  | 4106713826 |   318 | 10036002 |          0
 791450327  | 3596179649 |   318 | 10037002 |          0
(43 rows)

 ordergroup | transmode  | qty |   uom   | currencysw 
------------+------------+-----+---------+------------
 3342490421 | 1341953123 | 266 | 1103002 |          0
 3340643379 | 2363021475 | 266 | 1101002 |          0
 3341566900 | 1852487300 | 356 | 1102002 |          0
(3 rows)

 ordergroup | transmode  | qty |   uom   | currencysw 
------------+------------+-----+---------+------------
 3905159232 | 3809208950 | 228 | 1201002 |          0
 3906082753 | 3298674773 | 228 | 1202002 |          0
 3907006274 | 2788140596 | 228 | 1203002 |          0
 3907929795 | 2277606419 | 228 | 1204002 |          0
 3908853316 | 1767072244 |  90 | 1205002 |          0
(5 rows)

 ordergroup | transmode  | qty |   uom   | currencysw 
------------+------------+-----+---------+------------
 1934182194 | 3442077062 | 153 | 1301002 |          0
 1935105715 | 2931542885 | 147 | 1302002 |          0
 1936029236 | 2421008708 | 145 | 1303002 |          0
 1936952757 | 1910474533 |  79 | 1304002 |          0
(4 rows)

