 ordergroup |  ordergroupmember   |    item    | exception |    exceptiondate    |                                descr                                 |   source   |    dest    | transmode  
------------+---------------------+------------+-----------+---------------------+----------------------------------------------------------------------+------------+------------+------------
 118709548  |                     |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                                  |            | 118698853  | 3979097932
 118709548  | OOPT-MBG327.01-OGM1 |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                                  | 2497681510 | 118698853  | 3979097932
 118709548  | OOPT-MBG327.01-OGM1 | 3544253634 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                                    | 2497681510 | 118698853  | 3979097932
 118709548  | OOPT-MBG327.01-OGM1 | 3544253635 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                                    | 2497681510 | 118698853  | 3979097932
 118709548  | OOPT-MBG327.01-OGM1 | 3544253634 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                                          | 2497681510 | 118698853  | 3979097932
 118709548  | OOPT-MBG327.01-OGM1 | 3544253635 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                                          | 2497681510 | 118698853  | 3979097932
 118709548  | OOPT-MBG327.01-OGM2 |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                                  | 2497681511 | 118698853  | 3979097932
 118709548  | OOPT-MBG327.01-OGM2 | 3544253636 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                                    | 2497681511 | 118698853  | 3979097932
 118709548  | OOPT-MBG327.01-OGM2 | 3544253637 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                                    | 2497681511 | 118698853  | 3979097932
 118709548  | OOPT-MBG327.01-OGM2 | 3544253636 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                                          | 2497681511 | 118698853  | 3979097932
 118709548  | OOPT-MBG327.01-OGM2 | 3544253637 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                                          | 2497681511 | 118698853  | 3979097932
 119633069  |                     |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                                  |            | 119622374  | 3468563755
 119633069  | OOPT-MBG327.02-OGM1 |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                                  | 2497711301 | 119622374  | 3468563755
 119633069  | OOPT-MBG327.02-OGM1 | 3544254595 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                                    | 2497711301 | 119622374  | 3468563755
 119633069  | OOPT-MBG327.02-OGM1 | 3544254596 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                                    | 2497711301 | 119622374  | 3468563755
 119633069  | OOPT-MBG327.02-OGM1 | 3544254595 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                                          | 2497711301 | 119622374  | 3468563755
 119633069  | OOPT-MBG327.02-OGM1 | 3544254596 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                                          | 2497711301 | 119622374  | 3468563755
 119633069  | OOPT-MBG327.02-OGM2 |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                                  | 2497711302 | 119622374  | 3468563755
 119633069  | OOPT-MBG327.02-OGM2 | 3544254597 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                                    | 2497711302 | 119622374  | 3468563755
 119633069  | OOPT-MBG327.02-OGM2 | 3544254598 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                                    | 2497711302 | 119622374  | 3468563755
