 ordergroup |  ordergroupmember  |    item    | exception |    exceptiondate    |                       descr                        |   source   |    dest    | transmode  
------------+--------------------+------------+-----------+---------------------+----------------------------------------------------+------------+------------+------------
 3623046931 |                    |            |      4050 | 2006-10-30 00:00:00 | Order adjusted through online recalc process       | 4273292637 | 3623036236 | 1749756357
 3623046931 |                    |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                | 4273292637 | 3623036236 | 1749756357
 3623046931 | OOPT-REC10.01-OGM1 |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                | 4273292637 | 3623036236 | 1749756357
 3623046931 | OOPT-REC10.01-OGM1 | 2216058091 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273292637 | 3623036236 | 1749756357
 3623046931 | OOPT-REC10.01-OGM1 | 2216058092 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273292637 | 3623036236 | 1749756357
 3623046931 | OOPT-REC10.01-OGM1 | 2216058093 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273292637 | 3623036236 | 1749756357
 3623046931 | OOPT-REC10.01-OGM1 | 2216058091 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273292637 | 3623036236 | 1749756357
 3623046931 | OOPT-REC10.01-OGM1 | 2216058092 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273292637 | 3623036236 | 1749756357
 3623046931 | OOPT-REC10.01-OGM1 | 2216058093 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273292637 | 3623036236 | 1749756357
 3623046931 | OOPT-REC10.01-OGM2 |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                | 4273292637 | 3623036236 | 1749756357
 3623046931 | OOPT-REC10.01-OGM2 | 2216058094 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273292637 | 3623036236 | 1749756357
 3623046931 | OOPT-REC10.01-OGM2 | 2216058095 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273292637 | 3623036236 | 1749756357
 3623046931 | OOPT-REC10.01-OGM2 | 2216058096 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273292637 | 3623036236 | 1749756357
 3623046931 | OOPT-REC10.01-OGM2 | 2216058094 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273292637 | 3623036236 | 1749756357
 3623046931 | OOPT-REC10.01-OGM2 | 2216058095 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273292637 | 3623036236 | 1749756357
 3623046931 | OOPT-REC10.01-OGM2 | 2216058096 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273292637 | 3623036236 | 1749756357
 3623970452 |                    |            |      4050 | 2006-10-30 00:00:00 | Order adjusted through online recalc process       | 4273322428 | 3623959757 | 1239222180
 3623970452 |                    |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM1 |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM1 | 2216059052 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM1 | 2216059053 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM1 | 2216059054 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM1 | 2216059052 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM1 | 2216059053 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM1 | 2216059054 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM1 | 2216059052 |      4203 | 2006-10-30 00:00:00 | SOQ Coverage Duration is longer than six months    | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM2 |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM2 | 2216059055 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM2 | 2216059056 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM2 | 2216059057 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM2 | 2216059055 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM2 | 2216059056 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273322428 | 3623959757 | 1239222180
 3623970452 | OOPT-REC10.02-OGM2 | 2216059057 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273322428 | 3623959757 | 1239222180
 3624893973 |                    |            |      4050 | 2006-10-30 00:00:00 | Order adjusted through online recalc process       | 4273352219 | 3624883278 | 728688003
 3624893973 |                    |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                | 4273352219 | 3624883278 | 728688003
 3624893973 | OOPT-REC10.03-OGM1 |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                | 4273352219 | 3624883278 | 728688003
 3624893973 | OOPT-REC10.03-OGM1 | 2216060013 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273352219 | 3624883278 | 728688003
 3624893973 | OOPT-REC10.03-OGM1 | 2216060014 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273352219 | 3624883278 | 728688003
 3624893973 | OOPT-REC10.03-OGM1 | 2216060015 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273352219 | 3624883278 | 728688003
 3624893973 | OOPT-REC10.03-OGM1 | 2216060013 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273352219 | 3624883278 | 728688003
 3624893973 | OOPT-REC10.03-OGM1 | 2216060014 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273352219 | 3624883278 | 728688003
 3624893973 | OOPT-REC10.03-OGM1 | 2216060015 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273352219 | 3624883278 | 728688003
 3624893973 | OOPT-REC10.03-OGM1 | 2216060013 |      4203 | 2006-10-30 00:00:00 | SOQ Coverage Duration is longer than six months    | 4273352219 | 3624883278 | 728688003
 3624893973 | OOPT-REC10.03-OGM2 |            |      4051 | 2006-10-30 00:00:00 | Order Status is Due                                | 4273352219 | 3624883278 | 728688003
 3624893973 | OOPT-REC10.03-OGM2 | 2216060016 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273352219 | 3624883278 | 728688003
 3624893973 | OOPT-REC10.03-OGM2 | 2216060017 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273352219 | 3624883278 | 728688003
 3624893973 | OOPT-REC10.03-OGM2 | 2216060018 |      4200 | 2006-10-30 00:00:00 | SKU Out Of Stock within Lead Time                  | 4273352219 | 3624883278 | 728688003
 3624893973 | OOPT-REC10.03-OGM2 | 2216060016 |      4202 | 2006-10-30 00:00:00 | SKU at Risk                                        | 4273352219 | 3624883278 | 728688003
