 ordergroup |  ordergroupmember  |    dest    |   source   |   orderplacedate    |    departuredate    |    deliverydate     |      arrivdate      | totalleadtime | transitdur | unloaddur | needcovdur | mincovdur |    finalcovdate     |     mincovdate      |     needcovdate     | finalcovdur | delaydur | status | orderskucount | orderskusoqcount | networkmincovdur |  networkmincovdate  |     createdate      | maxcovdur | orderbuildrule | duestatus | networkminstatus | loadsolutionstatus | loadstatus | approvalstatus | precisionbuildsw | ordertype | transmode  | ordergroupparam | ordergroupbuildrule | precisionloadsw | vehicleloadcount | lanetype 
------------+--------------------+------------+------------+---------------------+---------------------+---------------------+---------------------+---------------+------------+-----------+------------+-----------+---------------------+---------------------+---------------------+-------------+----------+--------+---------------+------------------+------------------+---------------------+---------------------+-----------+----------------+-----------+------------------+--------------------+------------+----------------+------------------+-----------+------------+-----------------+---------------------+-----------------+------------------+----------
 3623046931 |                    | 3623036236 | 4273292637 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |   -11520 |      4 |             6 |                6 |            10080 | 2006-11-08 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              1 |                0 |         1 | 1749756357 |                 |                   1 |               0 |                1 |        2
 3623046931 | OOPT-REC10.01-OGM1 | 3623036236 | 4273292637 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |   -11520 |      4 |             3 |                3 |            10080 | 2006-11-08 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              1 |                0 |         1 | 1749756357 |                 |                   1 |               0 |                0 |        3
 3623046931 | OOPT-REC10.01-OGM2 | 3623036236 | 4273292637 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |   -11520 |      4 |             3 |                3 |            10080 | 2006-11-08 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              1 |                0 |         1 | 1749756357 |                 |                   1 |               0 |                0 |        3
 3623970452 |                    | 3623959757 | 4273322428 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |   -11520 |      4 |             6 |                6 |            10080 | 2006-11-08 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              1 |                0 |         1 | 1239222180 |                 |                   1 |               0 |                7 |        2
 3623970452 | OOPT-REC10.02-OGM1 | 3623959757 | 4273322428 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |   -11520 |      4 |             3 |                3 |            10080 | 2006-11-08 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              1 |                0 |         1 | 1239222180 |                 |                   1 |               0 |                0 |        3
 3623970452 | OOPT-REC10.02-OGM2 | 3623959757 | 4273322428 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       10080 |   -11520 |      4 |             3 |                3 |            10080 | 2006-11-08 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              1 |                0 |         1 | 1239222180 |                 |                   1 |               0 |                0 |        3
 3624893973 |                    | 3624883278 | 4273352219 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-10 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       12960 |   -11520 |      4 |             6 |                6 |            10080 | 2006-11-08 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  2 |          2 |              1 |                0 |         1 | 728688003  |                 |                   1 |               0 |                3 |        2
 3624893973 | OOPT-REC10.03-OGM1 | 3624883278 | 4273352219 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-10 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       12960 |   -11520 |      4 |             3 |                3 |            10080 | 2006-11-08 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              1 |                0 |         1 | 728688003  |                 |                   1 |               0 |                0 |        3
 3624893973 | OOPT-REC10.03-OGM2 | 3624883278 | 4273352219 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 | 2006-11-01 00:00:00 |          2880 |       2880 |         0 |      10080 |     10080 | 2006-11-10 00:00:00 | 2006-11-08 00:00:00 | 2006-11-08 00:00:00 |       12960 |   -11520 |      4 |             3 |                3 |            10080 | 2006-11-08 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              1 |                0 |         1 | 728688003  |                 |                   1 |               0 |                0 |        3
