    item    |    dest    | adjskucovdur | arrivcovdur | avgreplenqty |    deliverydate     |    departuredate    | loaddur | precisionbuildsw | precisionloadsw |    stocklowdate     | stocklowdur |    stockoutdate     | stockoutdur | stockoutqty | stocklowqty |  sysorderpointdate  | sysorderuptoleveldate | totalleadtime | transitdur | unloaddur 
------------+------------+--------------+-------------+--------------+---------------------+---------------------+---------+------------------+-----------------+---------------------+-------------+---------------------+-------------+-------------+-------------+---------------------+-----------------------+---------------+------------+-----------
 2216058091 | 3623036236 |        10080 |       12480 |           37 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 09:36:00 |        2304 |           8 |          18 | 2006-11-09 16:00:00 | 2006-11-09 16:00:00   |          2880 |       2880 |         0
 2216058092 | 3623036236 |        10080 |       12480 |           37 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 09:36:00 |        2304 |           8 |          18 | 2006-11-09 16:00:00 | 2006-11-09 16:00:00   |          2880 |       2880 |         0
 2216058093 | 3623036236 |        10080 |       12960 |           45 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 06:51:00 |        2469 |          12 |          22 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00   |          2880 |       2880 |         0
 2216058094 | 3623036236 |        10080 |       12960 |           45 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 06:51:00 |        2469 |          12 |          22 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00   |          2880 |       2880 |         0
 2216058095 | 3623036236 |        10080 |       27540 |           18 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-31 00:00:00 |        1440 |           2 |          12 | 2006-11-10 12:00:00 | 2006-11-10 12:00:00   |          2880 |       2880 |         0
 2216058096 | 3623036236 |        10080 |       18080 |           24 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 12:00:00 |        2160 |           6 |          16 | 2006-11-13 00:00:00 | 2006-11-13 00:00:00   |          2880 |       2880 |         0
 2216059052 | 3623959757 |        10080 |     5256000 |           37 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 09:36:00 |        2304 |           8 |          18 | 2006-11-09 16:00:00 | 2006-11-09 16:00:00   |          2880 |       2880 |         0
 2216059053 | 3623959757 |        10080 |       12480 |           37 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 09:36:00 |        2304 |           8 |          18 | 2006-11-09 16:00:00 | 2006-11-09 16:00:00   |          2880 |       2880 |         0
 2216059054 | 3623959757 |        10080 |       12960 |           45 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 06:51:00 |        2469 |          12 |          22 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00   |          2880 |       2880 |         0
 2216059055 | 3623959757 |        10080 |       12960 |           45 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 06:51:00 |        2469 |          12 |          22 | 2006-11-10 00:00:00 | 2006-11-10 00:00:00   |          2880 |       2880 |         0
 2216059056 | 3623959757 |        10080 |       13680 |           18 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-31 00:00:00 |        1440 |           2 |          12 | 2006-11-10 12:00:00 | 2006-11-10 12:00:00   |          2880 |       2880 |         0
 2216059057 | 3623959757 |        10080 |       17280 |           24 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 12:00:00 |        2160 |           6 |          16 | 2006-11-13 00:00:00 | 2006-11-13 00:00:00   |          2880 |       2880 |         0
 2216060013 | 3624883278 |        10080 |     5256000 |           37 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 09:36:00 |        2304 |           8 |          18 | 2006-11-11 16:00:00 | 2006-11-11 16:00:00   |          2880 |       2880 |         0
 2216060014 | 3624883278 |        10080 |       15360 |           37 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 09:36:00 |        2304 |           8 |          18 | 2006-11-11 16:00:00 | 2006-11-11 16:00:00   |          2880 |       2880 |         0
 2216060015 | 3624883278 |        10080 |       15840 |           45 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 06:51:00 |        2469 |          12 |          22 | 2006-11-12 00:00:00 | 2006-11-12 00:00:00   |          2880 |       2880 |         0
 2216060016 | 3624883278 |        10080 |       15840 |           45 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 06:51:00 |        2469 |          12 |          22 | 2006-11-12 00:00:00 | 2006-11-12 00:00:00   |          2880 |       2880 |         0
 2216060017 | 3624883278 |        10080 |       16560 |           18 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-31 00:00:00 |        1440 |           2 |          12 | 2006-11-12 12:00:00 | 2006-11-12 12:00:00   |          2880 |       2880 |         0
 2216060018 | 3624883278 |        10080 |       17920 |           24 | 2006-11-01 00:00:00 | 2006-10-30 00:00:00 |       0 |                0 |               0 | 2006-10-30 00:00:00 |        2880 | 2006-10-30 12:00:00 |        2160 |           6 |          16 | 2006-11-13 10:40:00 | 2006-11-13 10:40:00   |          2880 |       2880 |         0
