    item    |   source   |    dest    | qty | unroundedqty |   uom   | ordergroup |  ordergroupmember  
------------+------------+------------+-----+--------------+---------+------------+--------------------
 2216058091 | 4273292637 | 3623036236 |  55 |           55 | 1001002 | 3623046931 | OOPT-REC10.01-OGM1
 2216058092 | 4273292637 | 3623036236 |  55 |           55 | 1001002 | 3623046931 | OOPT-REC10.01-OGM1
 2216058093 | 4273292637 | 3623036236 |  67 |           67 | 1001002 | 3623046931 | OOPT-REC10.01-OGM1
 2216058094 | 4273292637 | 3623036236 |  67 |           67 | 1001002 | 3623046931 | OOPT-REC10.01-OGM2
 2216058095 | 4273292637 | 3623036236 |  55 |           45 | 1001002 | 3623046931 | OOPT-REC10.01-OGM2
 2216058096 | 4273292637 | 3623036236 |  45 |           41 | 1001002 | 3623046931 | OOPT-REC10.01-OGM2
 2216059052 | 4273322428 | 3623959757 | 380 |          380 | 1002002 | 3623970452 | OOPT-REC10.02-OGM1
 2216059053 | 4273322428 | 3623959757 |  55 |           55 | 1002002 | 3623970452 | OOPT-REC10.02-OGM1
 2216059054 | 4273322428 | 3623959757 |  67 |           67 | 1002002 | 3623970452 | OOPT-REC10.02-OGM1
 2216059055 | 4273322428 | 3623959757 |  67 |           67 | 1002002 | 3623970452 | OOPT-REC10.02-OGM2
 2216059056 | 4273322428 | 3623959757 |  30 |           30 | 1002002 | 3623970452 | OOPT-REC10.02-OGM2
 2216059057 | 4273322428 | 3623959757 |  40 |           40 | 1002002 | 3623970452 | OOPT-REC10.02-OGM2
 2216060013 | 4273352219 | 3624883278 | 210 |          210 | 1003002 | 3624893973 | OOPT-REC10.03-OGM1
 2216060014 | 4273352219 | 3624883278 |  67 |           67 | 1003002 | 3624893973 | OOPT-REC10.03-OGM1
 2216060015 | 4273352219 | 3624883278 |  77 |           77 | 1003002 | 3624893973 | OOPT-REC10.03-OGM1
 2216060016 | 4273352219 | 3624883278 |  77 |           77 | 1003002 | 3624893973 | OOPT-REC10.03-OGM2
 2216060017 | 4273352219 | 3624883278 |  38 |           38 | 1003002 | 3624893973 | OOPT-REC10.03-OGM2
 2216060018 | 4273352219 | 3624883278 |  44 |           44 | 1003002 | 3624893973 | OOPT-REC10.03-OGM2
 2216060974 | 4273382010 | 3625806799 |  20 |           20 | 1004002 | 3625817494 | OOPT-REC10.04-OGM1
 2216060975 | 4273382010 | 3625806799 |  74 |           74 | 1004002 | 3625817494 | OOPT-REC10.04-OGM1
 2216060976 | 4273382010 | 3625806799 |  71 |           71 | 1004002 | 3625817494 | OOPT-REC10.04-OGM1
 2216060977 | 4273382010 | 3625806799 |  71 |           71 | 1004002 | 3625817494 | OOPT-REC10.04-OGM2
 2216060978 | 4273382010 | 3625806799 |  10 |           10 | 1004002 | 3625817494 | OOPT-REC10.04-OGM2
 2216060979 | 4273382010 | 3625806799 |  20 |           20 | 1004002 | 3625817494 | OOPT-REC10.04-OGM2
 2216061940 | 4273411801 | 3626730320 |  40 |           40 | 1005002 | 3626741015 | OOPT-REC10.05-OGM2
 2216063858 | 4273471383 | 3628577362 |  55 |           55 | 1007002 | 3628588057 | OOPT-REC10.07-OGM1
 2216063859 | 4273471383 | 3628577362 |  67 |           67 | 1007002 | 3628588057 | OOPT-REC10.07-OGM1
 2216063860 | 4273471383 | 3628577362 |  67 |           67 | 1007002 | 3628588057 | OOPT-REC10.07-OGM2
 2216063861 | 4273471383 | 3628577362 |  30 |           30 | 1007002 | 3628588057 | OOPT-REC10.07-OGM2
 2216063862 | 4273471383 | 3628577362 |  40 |           40 | 1007002 | 3628588057 | OOPT-REC10.07-OGM2
 2216064818 | 4273501174 | 3629500883 |  10 |           10 | 1008002 | 3629511578 | OOPT-REC10.08-OGM1
 2216064819 | 4273501174 | 3629500883 |  55 |           55 | 1008002 | 3629511578 | OOPT-REC10.08-OGM1
 2216064820 | 4273501174 | 3629500883 |  67 |           67 | 1008002 | 3629511578 | OOPT-REC10.08-OGM1
 2216064821 | 4273501174 | 3629500883 |  67 |           67 | 1008002 | 3629511578 | OOPT-REC10.08-OGM2
 2216064822 | 4273501174 | 3629500883 |  30 |           30 | 1008002 | 3629511578 | OOPT-REC10.08-OGM2
 2216064823 | 4273501174 | 3629500883 |  40 |           40 | 1008002 | 3629511578 | OOPT-REC10.08-OGM2
(36 rows)

