 ordergroup |  ordergroupmember  |   uom   | qty | unroundedqty | type |   source   |    dest    
------------+--------------------+---------+-----+--------------+------+------------+------------
 3623046931 |                    | 1001002 | 344 |          330 |    1 | 4273292637 | 3623036236
 3623046931 |                    | 1001002 | 344 |          330 |    2 | 4273292637 | 3623036236
 3623046931 |                    | 1001002 | 344 |          330 |    3 | 4273292637 | 3623036236
 3623046931 | OOPT-REC10.01-OGM1 | 1001002 | 177 |          177 |    1 | 4273292637 | 3623036236
 3623046931 | OOPT-REC10.01-OGM1 | 1001002 | 177 |          177 |    2 | 4273292637 | 3623036236
 3623046931 | OOPT-REC10.01-OGM1 | 1001002 | 177 |          177 |    3 | 4273292637 | 3623036236
 3623046931 | OOPT-REC10.01-OGM2 | 1001002 | 167 |          153 |    1 | 4273292637 | 3623036236
 3623046931 | OOPT-REC10.01-OGM2 | 1001002 | 167 |          153 |    2 | 4273292637 | 3623036236
 3623046931 | OOPT-REC10.01-OGM2 | 1001002 | 167 |          153 |    3 | 4273292637 | 3623036236
 3623970452 |                    | 1002002 | 639 |          639 |    1 | 4273322428 | 3623959757
 3623970452 |                    | 1002002 | 639 |          639 |    2 | 4273322428 | 3623959757
 3623970452 |                    | 1002002 | 639 |          639 |    3 | 4273322428 | 3623959757
 3623970452 | OOPT-REC10.02-OGM1 | 1002002 | 502 |          502 |    1 | 4273322428 | 3623959757
 3623970452 | OOPT-REC10.02-OGM1 | 1002002 | 502 |          502 |    2 | 4273322428 | 3623959757
 3623970452 | OOPT-REC10.02-OGM1 | 1002002 | 502 |          502 |    3 | 4273322428 | 3623959757
 3623970452 | OOPT-REC10.02-OGM2 | 1002002 | 137 |          137 |    1 | 4273322428 | 3623959757
 3623970452 | OOPT-REC10.02-OGM2 | 1002002 | 137 |          137 |    2 | 4273322428 | 3623959757
 3623970452 | OOPT-REC10.02-OGM2 | 1002002 | 137 |          137 |    3 | 4273322428 | 3623959757
 3624893973 |                    | 1003002 | 469 |          469 |    1 | 4273352219 | 3624883278
 3624893973 |                    | 1003002 | 469 |          469 |    2 | 4273352219 | 3624883278
 3624893973 |                    | 1003002 | 513 |          513 |    3 | 4273352219 | 3624883278
 3624893973 | OOPT-REC10.03-OGM1 | 1003002 | 332 |          332 |    1 | 4273352219 | 3624883278
 3624893973 | OOPT-REC10.03-OGM1 | 1003002 | 332 |          332 |    2 | 4273352219 | 3624883278
 3624893973 | OOPT-REC10.03-OGM1 | 1003002 | 354 |          354 |    3 | 4273352219 | 3624883278
 3624893973 | OOPT-REC10.03-OGM2 | 1003002 | 137 |          137 |    1 | 4273352219 | 3624883278
 3624893973 | OOPT-REC10.03-OGM2 | 1003002 | 137 |          137 |    2 | 4273352219 | 3624883278
 3624893973 | OOPT-REC10.03-OGM2 | 1003002 | 159 |          159 |    3 | 4273352219 | 3624883278
