 ordergroup | transmode  |      shipdate       |      arrivdate      | sourcestatus | deststatus | lbstatus | statusdesc | lbsource | vendorminmetsw | transmodeminmetsw | tolerancecapmetsw | maxcapacitymetsw | orderoptseqnum | maxcapacityexceededsw | approvalstatus | descr 
------------+------------+---------------------+---------------------+--------------+------------+----------+------------+----------+----------------+-------------------+-------------------+------------------+----------------+-----------------------+----------------+-------
 3623046931 | 1749756357 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 3623970452 | 1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              1 |                     0 |              0 | 
 3623970452 | 1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              2 |                     0 |              0 | 
 3623970452 | 1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              3 |                     0 |              0 | 
 3623970452 | 1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              4 |                     0 |              0 | 
 3623970452 | 1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              5 |                     0 |              0 | 
 3623970452 | 1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              6 |                     0 |              0 | 
 3623970452 | 1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              7 |                     0 |              0 | 
 3624893973 | 728688003  | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              1 |                     0 |              0 | 
 3624893973 | 728688003  | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              2 |                     0 |              0 | 
 3624893973 | 728688003  | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              3 |                     0 |              0 | 
 3625817494 | 218153826  | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 3626741015 | 4002586943 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
 3628588057 | 2981518589 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              1 |                     0 |              0 | 
 3628588057 | 2981518589 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              2 |                     0 |              0 | 
 3628588057 | 2981518589 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              3 |                     0 |              0 | 
 3628588057 | 2981518589 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              4 |                     0 |              0 | 
 3628588057 | 2981518589 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              5 |                     0 |              0 | 
 3628588057 | 2981518589 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              6 |                     0 |              0 | 
 3628588057 | 2981518589 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              7 |                     0 |              0 | 
 3629511578 | 2470984412 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              1 |                     0 |              0 | 
(21 rows)

