 ordergroup |    item    |   source   |    dest    | qty | loadlineid | primaryitem |       expdate       |      sourcing      |    schedshipdate    |   schedarrivdate    | lbsource 
------------+------------+------------+------------+-----+------------+-------------+---------------------+--------------------+---------------------+---------------------+----------
 3623046931 | 2216058091 | 4273292637 | 3623036236 |  55 |          1 | 2216058091  | 4011-07-14 01:04:00 | SOURCING1749756357 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623046931 | 2216058092 | 4273292637 | 3623036236 |  55 |          2 | 2216058092  | 4011-07-14 01:04:00 | SOURCING1749756357 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623046931 | 2216058093 | 4273292637 | 3623036236 |  67 |          3 | 2216058093  | 4011-07-14 01:04:00 | SOURCING1749756357 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623046931 | 2216058094 | 4273292637 | 3623036236 |  67 |          4 | 2216058094  | 4011-07-14 01:04:00 | SOURCING1749756357 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623046931 | 2216058095 | 4273292637 | 3623036236 |  55 |          5 | 2216058095  | 4011-07-14 01:04:00 | SOURCING1749756357 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623046931 | 2216058096 | 4273292637 | 3623036236 |  45 |          6 | 2216058096  | 4011-07-14 01:04:00 | SOURCING1749756357 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059052 | 4273322428 | 3623959757 |  17 |          1 | 2216059052  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059052 | 4273322428 | 3623959757 |  17 |          5 | 2216059052  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059052 | 4273322428 | 3623959757 |  18 |          5 | 2216059052  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059052 | 4273322428 | 3623959757 |  39 |          1 | 2216059052  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059052 | 4273322428 | 3623959757 |  89 |          2 | 2216059052  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059052 | 4273322428 | 3623959757 | 100 |          1 | 2216059052  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059052 | 4273322428 | 3623959757 | 100 |          1 | 2216059052  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059053 | 4273322428 | 3623959757 |   3 |          3 | 2216059053  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059053 | 4273322428 | 3623959757 |  16 |          2 | 2216059053  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059053 | 4273322428 | 3623959757 |  18 |          1 | 2216059053  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059053 | 4273322428 | 3623959757 |  18 |          6 | 2216059053  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059054 | 4273322428 | 3623959757 |   2 |          6 | 2216059054  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059054 | 4273322428 | 3623959757 |  20 |          3 | 2216059054  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059054 | 4273322428 | 3623959757 |  22 |          1 | 2216059054  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059054 | 4273322428 | 3623959757 |  23 |          2 | 2216059054  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059055 | 4273322428 | 3623959757 |   3 |          1 | 2216059055  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059055 | 4273322428 | 3623959757 |  20 |          4 | 2216059055  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059055 | 4273322428 | 3623959757 |  21 |          2 | 2216059055  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059055 | 4273322428 | 3623959757 |  23 |          3 | 2216059055  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059056 | 4273322428 | 3623959757 |   2 |          4 | 2216059056  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059056 | 4273322428 | 3623959757 |   6 |          6 | 2216059056  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059056 | 4273322428 | 3623959757 |  10 |          3 | 2216059056  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059056 | 4273322428 | 3623959757 |  12 |          5 | 2216059056  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059057 | 4273322428 | 3623959757 |   1 |          5 | 2216059057  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 3623970452 | 2216059057 | 4273322428 | 3623959757 |  11 |          4 | 2216059057  | 4011-07-14 01:04:00 | SOURCING1239222180 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
