 ordergroup | transmode  | qty |   uom   
------------+------------+-----+---------
 3623046931 | 1749756357 | 344 | 1001002
 3623970452 | 1239222180 | 100 | 1002002
 3623970452 | 1239222180 | 100 | 1002002
 3623970452 | 1239222180 | 100 | 1002002
 3623970452 | 1239222180 | 100 | 1002002
 3623970452 | 1239222180 | 100 | 1002002
 3623970452 | 1239222180 | 100 | 1002002
 3623970452 | 1239222180 |  39 | 1002002
 3624893973 | 728688003  | 200 | 1003002
 3624893973 | 728688003  | 200 | 1003002
 3624893973 | 728688003  | 113 | 1003002
 3625817494 | 218153826  | 266 | 1004002
 3626741015 | 4002586943 |  40 | 1005002
 3628588057 | 2981518589 |  40 | 1007002
 3628588057 | 2981518589 |  40 | 1007002
 3628588057 | 2981518589 |  40 | 1007002
 3628588057 | 2981518589 |  40 | 1007002
 3628588057 | 2981518589 |  40 | 1007002
 3628588057 | 2981518589 |  40 | 1007002
 3628588057 | 2981518589 |  19 | 1007002
 3629511578 | 2470984412 | 269 | 1008002
(21 rows)

