 ordergroup |  ordergroupmember   |    dest    |   source   |   orderplacedate    |    departuredate    |    deliverydate     |      arrivdate      | totalleadtime | transitdur | unloaddur | needcovdur | mincovdur |    finalcovdate     |     mincovdate      |     needcovdate     | finalcovdur | delaydur | status | orderskucount | orderskusoqcount | networkmincovdur |  networkmincovdate  |     createdate      | maxcovdur | orderbuildrule | duestatus | networkminstatus | loadsolutionstatus | loadstatus | approvalstatus | precisionbuildsw | ordertype | transmode  | ordergroupparam | ordergroupbuildrule | precisionloadsw | vehicleloadcount | lanetype 
------------+---------------------+------------+------------+---------------------+---------------------+---------------------+---------------------+---------------+------------+-----------+------------+-----------+---------------------+---------------------+---------------------+-------------+----------+--------+---------------+------------------+------------------+---------------------+---------------------+-----------+----------------+-----------+------------------+--------------------+------------+----------------+------------------+-----------+------------+-----------------+---------------------+-----------------+------------------+----------
 118709548  |                     | 118698853  |            | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 | 2006-11-09 00:00:00 |         14400 |      14400 |         0 |      10080 |     10080 | 2006-12-04 00:00:00 | 2006-11-16 00:00:00 | 2006-11-16 00:00:00 |       36000 |   -11520 |      5 |             4 |                4 |            36000 | 2006-12-04 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          2 |              2 |                0 |         1 | 3979097932 |                 |                   1 |               0 |                5 |        2
 118709548  | OOPT-MBG327.01-OGM1 | 118698853  | 2497681510 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 | 2006-11-09 00:00:00 |         14400 |      14400 |         0 |      10080 |     10080 | 2006-12-04 00:00:00 | 2006-11-16 00:00:00 | 2006-11-16 00:00:00 |       36000 |   -11520 |      5 |             2 |                2 |            36000 | 2006-12-04 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 3979097932 |                 |                   1 |               0 |                0 |        3
 118709548  | OOPT-MBG327.01-OGM2 | 118698853  | 2497681511 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 | 2006-11-09 00:00:00 |         14400 |      14400 |         0 |      10080 |     10080 | 2006-12-04 00:00:00 | 2006-11-16 00:00:00 | 2006-11-16 00:00:00 |       36000 |   -11520 |      5 |             2 |                2 |            36000 | 2006-12-04 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 3979097932 |                 |                   1 |               0 |                0 |        3
 119633069  |                     | 119622374  |            | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 | 2006-11-09 00:00:00 |         14400 |      14400 |         0 |      10080 |     10080 | 2006-12-07 00:00:00 | 2006-11-16 00:00:00 | 2006-11-16 00:00:00 |       40320 |   -11520 |      5 |             4 |                4 |            40320 | 2006-12-07 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          2 |              2 |                0 |         1 | 3468563755 |                 |                   1 |               0 |                6 |        2
 119633069  | OOPT-MBG327.02-OGM1 | 119622374  | 2497711301 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 | 2006-11-09 00:00:00 |         14400 |      14400 |         0 |      10080 |     10080 | 2006-12-07 00:00:00 | 2006-11-16 00:00:00 | 2006-11-16 00:00:00 |       40320 |   -11520 |      5 |             2 |                2 |            40320 | 2006-12-07 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 3468563755 |                 |                   1 |               0 |                0 |        3
 119633069  | OOPT-MBG327.02-OGM2 | 119622374  | 2497711302 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 | 2006-11-09 00:00:00 |         14400 |      14400 |         0 |      10080 |     10080 | 2006-12-07 00:00:00 | 2006-11-16 00:00:00 | 2006-11-16 00:00:00 |       40320 |   -11520 |      5 |             2 |                2 |            40320 | 2006-12-07 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 3468563755 |                 |                   1 |               0 |                0 |        3
 120556590  |                     | 120545895  |            | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 | 2006-11-09 00:00:00 |         14400 |      14400 |         0 |      10080 |     10080 | 2006-12-09 00:00:00 | 2006-11-16 00:00:00 | 2006-11-16 00:00:00 |       43200 |   -11520 |      5 |             4 |                4 |            43200 | 2006-12-09 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          2 |              2 |                0 |         1 | 2958029578 |                 |                   1 |               0 |                6 |        2
 120556590  | OOPT-MBG327.03-OGM1 | 120545895  | 2497741092 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 | 2006-11-09 00:00:00 |         14400 |      14400 |         0 |      10080 |     10080 | 2006-12-09 00:00:00 | 2006-11-16 00:00:00 | 2006-11-16 00:00:00 |       43200 |   -11520 |      5 |             2 |                2 |            43200 | 2006-12-09 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 2958029578 |                 |                   1 |               0 |                0 |        3
 120556590  | OOPT-MBG327.03-OGM2 | 120545895  | 2497741093 | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 | 2006-11-09 00:00:00 |         14400 |      14400 |         0 |      10080 |     10080 | 2006-12-09 00:00:00 | 2006-11-16 00:00:00 | 2006-11-16 00:00:00 |       43200 |   -11520 |      5 |             2 |                2 |            43200 | 2006-12-09 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          1 |              2 |                0 |         1 | 2958029578 |                 |                   1 |               0 |                0 |        3
 121480111  |                     | 121469416  |            | 2006-10-30 00:00:00 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 | 2006-11-09 00:00:00 |         14400 |      14400 |         0 |      10080 |     10080 | 2006-11-29 00:00:00 | 2006-11-16 00:00:00 | 2006-11-16 00:00:00 |       28800 |   -11520 |      5 |             4 |                4 |            28800 | 2006-11-29 00:00:00 | 1970-01-01 00:00:00 |    525600 |              1 |         2 |                2 |                  1 |          2 |              2 |                0 |         1 | 2447495401 |                 |                   1 |               0 |                4 |        2
