    item    |   source   |    dest    | qty  | unroundedqty |   uom    | ordergroup |  ordergroupmember   
------------+------------+------------+------+--------------+----------+------------+---------------------
 3544253634 | 2497681510 | 118698853  |   35 |           35 | 32701002 | 118709548  | OOPT-MBG327.01-OGM1
 3544253634 | 2497681510 | 118698853  |   35 |           35 | 32701003 | 118709548  | OOPT-MBG327.01-OGM1
 3544253635 | 2497681510 | 118698853  |   35 |           35 | 32701002 | 118709548  | OOPT-MBG327.01-OGM1
 3544253635 | 2497681510 | 118698853  |   35 |           35 | 32701003 | 118709548  | OOPT-MBG327.01-OGM1
 3544253636 | 2497681511 | 118698853  |   35 |           35 | 32701002 | 118709548  | OOPT-MBG327.01-OGM2
 3544253636 | 2497681511 | 118698853  |   35 |           35 | 32701003 | 118709548  | OOPT-MBG327.01-OGM2
 3544253637 | 2497681511 | 118698853  |   35 |           35 | 32701002 | 118709548  | OOPT-MBG327.01-OGM2
 3544253637 | 2497681511 | 118698853  |   35 |           35 | 32701003 | 118709548  | OOPT-MBG327.01-OGM2
 3544254595 | 2497711301 | 119622374  |   38 |           38 | 32702002 | 119633069  | OOPT-MBG327.02-OGM1
 3544254595 | 2497711301 | 119622374  |   38 |           38 | 32702003 | 119633069  | OOPT-MBG327.02-OGM1
 3544254596 | 2497711301 | 119622374  |   38 |           38 | 32702002 | 119633069  | OOPT-MBG327.02-OGM1
 3544254596 | 2497711301 | 119622374  |   38 |           38 | 32702003 | 119633069  | OOPT-MBG327.02-OGM1
 3544254597 | 2497711302 | 119622374  |   38 |           38 | 32702002 | 119633069  | OOPT-MBG327.02-OGM2
 3544254597 | 2497711302 | 119622374  |   38 |           38 | 32702003 | 119633069  | OOPT-MBG327.02-OGM2
 3544254598 | 2497711302 | 119622374  |   38 |           38 | 32702002 | 119633069  | OOPT-MBG327.02-OGM2
 3544254598 | 2497711302 | 119622374  |   38 |           38 | 32702003 | 119633069  | OOPT-MBG327.02-OGM2
 3544255556 | 2497741092 | 120545895  |   40 |           40 | 32703002 | 120556590  | OOPT-MBG327.03-OGM1
 3544255556 | 2497741092 | 120545895  |   40 |           40 | 32703003 | 120556590  | OOPT-MBG327.03-OGM1
 3544255557 | 2497741092 | 120545895  |   40 |           40 | 32703002 | 120556590  | OOPT-MBG327.03-OGM1
 3544255557 | 2497741092 | 120545895  |   40 |           40 | 32703003 | 120556590  | OOPT-MBG327.03-OGM1
 3544255558 | 2497741093 | 120545895  |   40 |           40 | 32703002 | 120556590  | OOPT-MBG327.03-OGM2
 3544255558 | 2497741093 | 120545895  |   40 |           40 | 32703003 | 120556590  | OOPT-MBG327.03-OGM2
 3544255559 | 2497741093 | 120545895  |   40 |           40 | 32703002 | 120556590  | OOPT-MBG327.03-OGM2
 3544255559 | 2497741093 | 120545895  |   40 |           40 | 32703003 | 120556590  | OOPT-MBG327.03-OGM2
 3544256517 | 2497770883 | 121469416  |   30 |           30 | 32704002 | 121480111  | OOPT-MBG327.04-OGM1
 3544256517 | 2497770883 | 121469416  |   30 |           30 | 32704003 | 121480111  | OOPT-MBG327.04-OGM1
 3544256518 | 2497770883 | 121469416  |   30 |           30 | 32704002 | 121480111  | OOPT-MBG327.04-OGM1
 3544256518 | 2497770883 | 121469416  |   30 |           30 | 32704003 | 121480111  | OOPT-MBG327.04-OGM1
 3544256519 | 2497770884 | 121469416  |   30 |           30 | 32704002 | 121480111  | OOPT-MBG327.04-OGM2
 3544256519 | 2497770884 | 121469416  |   30 |           30 | 32704003 | 121480111  | OOPT-MBG327.04-OGM2
 3544256520 | 2497770884 | 121469416  |   30 |           30 | 32704002 | 121480111  | OOPT-MBG327.04-OGM2
 3544256520 | 2497770884 | 121469416  |   30 |           30 | 32704003 | 121480111  | OOPT-MBG327.04-OGM2
 3544257478 | 2497800674 | 122392937  |   40 |           40 | 32705002 | 122403632  | OOPT-MBG327.05-OGM1
 3544257478 | 2497800674 | 122392937  |   40 |           40 | 32705003 | 122403632  | OOPT-MBG327.05-OGM1
 3544257479 | 2497800674 | 122392937  |   40 |           40 | 32705002 | 122403632  | OOPT-MBG327.05-OGM1
 3544257479 | 2497800674 | 122392937  |   40 |           40 | 32705003 | 122403632  | OOPT-MBG327.05-OGM1
 3544257480 | 2497800675 | 122392937  |   40 |           40 | 32705002 | 122403632  | OOPT-MBG327.05-OGM2
 3544257480 | 2497800675 | 122392937  |   40 |           40 | 32705003 | 122403632  | OOPT-MBG327.05-OGM2
 3544257481 | 2497800675 | 122392937  |   40 |           40 | 32705002 | 122403632  | OOPT-MBG327.05-OGM2
 3544257481 | 2497800675 | 122392937  |   40 |           40 | 32705003 | 122403632  | OOPT-MBG327.05-OGM2
 3544258439 | 2497830465 | 123316458  |   50 |           50 | 32706002 | 123327153  | OOPT-MBG327.06-OGM1
 3544258439 | 2497830465 | 123316458  |   50 |           50 | 32706003 | 123327153  | OOPT-MBG327.06-OGM1
 3544258440 | 2497830465 | 123316458  |   50 |           50 | 32706002 | 123327153  | OOPT-MBG327.06-OGM1
 3544258440 | 2497830465 | 123316458  |   50 |           50 | 32706003 | 123327153  | OOPT-MBG327.06-OGM1
 3544258441 | 2497830466 | 123316458  |   50 |           50 | 32706002 | 123327153  | OOPT-MBG327.06-OGM2
 3544258441 | 2497830466 | 123316458  |   50 |           50 | 32706003 | 123327153  | OOPT-MBG327.06-OGM2
