 ordergroup | transmode  |      shipdate       |      arrivdate      | sourcestatus | deststatus | lbstatus | statusdesc | lbsource | vendorminmetsw | transmodeminmetsw | tolerancecapmetsw | maxcapacitymetsw | orderoptseqnum | maxcapacityexceededsw | approvalstatus | descr 
------------+------------+---------------------+---------------------+--------------+------------+----------+------------+----------+----------------+-------------------+-------------------+------------------+----------------+-----------------------+----------------+-------
 118709548  | 3979097932 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              1 |                     0 |              1 | 
 118709548  | 3979097932 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              2 |                     0 |              1 | 
 118709548  | 3979097932 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              3 |                     0 |              1 | 
 118709548  | 3979097932 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              4 |                     0 |              1 | 
 118709548  | 3979097932 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 1 |                 0 |                0 |              5 |                     0 |              1 | 
 119633069  | 3468563755 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              1 |                     0 |              1 | 
 119633069  | 3468563755 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              2 |                     0 |              1 | 
 119633069  | 3468563755 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              3 |                     0 |              1 | 
 119633069  | 3468563755 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              4 |                     0 |              1 | 
 119633069  | 3468563755 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 |            1 |          1 |        1 |            |        6 |              1 |                 1 |                 1 |                1 |              5 |                     0 |              1 | 
 119633069  | 3468563755 | 2006-10-30 00:00:00 | 2006-11-09 00:00:00 |            1 |          1 |        2 |            |        6 |              1 |                 0 |                 0 |                0 |              6 |                     0 |              1 | 
