 ordergroup |    item    |   source   |    dest    | qty | loadlineid | primaryitem |       expdate       |      sourcing      |    schedshipdate    |   schedarrivdate    | lbsource 
------------+------------+------------+------------+-----+------------+-------------+---------------------+--------------------+---------------------+---------------------+----------
 700021748  | 2767205770 | 4179001502 | 700011053  |  94 |          1 | 2767205770  | 4011-07-14 01:04:00 | SOURCING2599455620 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700021748  | 2767205771 | 4179001502 | 700011053  |  32 |          5 | 2767205771  | 4011-07-14 01:04:00 | SOURCING2599455620 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700021748  | 2767205772 | 4179001502 | 700011053  |  69 |          2 | 2767205772  | 4011-07-14 01:04:00 | SOURCING2599455620 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700021748  | 2767205773 | 4179001502 | 700011053  |  51 |          3 | 2767205773  | 4011-07-14 01:04:00 | SOURCING2599455620 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700021748  | 2767205774 | 4179001502 | 700011053  |  22 |          6 | 2767205774  | 4011-07-14 01:04:00 | SOURCING2599455620 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700021748  | 2767205775 | 4179001502 | 700011053  |  32 |          4 | 2767205775  | 4011-07-14 01:04:00 | SOURCING2599455620 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700945269  | 2767206731 | 4179031293 | 700934574  |  52 |          2 | 2767206731  | 4011-07-14 01:04:00 | SOURCING2088921445 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700945269  | 2767206731 | 4179031293 | 700934574  |  78 |          1 | 2767206731  | 4011-07-14 01:04:00 | SOURCING2088921445 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700945269  | 2767206732 | 4179031293 | 700934574  |  20 |          2 | 2767206732  | 4011-07-14 01:04:00 | SOURCING2088921445 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700945269  | 2767206732 | 4179031293 | 700934574  |  39 |          3 | 2767206732  | 4011-07-14 01:04:00 | SOURCING2088921445 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700945269  | 2767206733 | 4179031293 | 700934574  |  13 |          4 | 2767206733  | 4011-07-14 01:04:00 | SOURCING2088921445 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700945269  | 2767206733 | 4179031293 | 700934574  |  65 |          3 | 2767206733  | 4011-07-14 01:04:00 | SOURCING2088921445 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700945269  | 2767206734 | 4179031293 | 700934574  |  35 |          1 | 2767206734  | 4011-07-14 01:04:00 | SOURCING2088921445 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
 700945269  | 2767206734 | 4179031293 | 700934574  |  40 |          4 | 2767206734  | 4011-07-14 01:04:00 | SOURCING2088921445 | 2006-10-30 00:00:00 | 2006-11-01 00:00:00 |        6
