 ordergroup | transmode  |  qty  |   uom    
------------+------------+-------+----------
 3337022838 | 1362870146 |    50 | 33401002
 3337022838 | 1362870146 |    50 | 33401003
 3337022838 | 1362870146 |    50 | 33401002
 3337022838 | 1362870146 |    50 | 33401003
 3337022838 | 1362870146 |    50 | 33401002
 3337022838 | 1362870146 |    50 | 33401003
 3337022838 | 1362870146 |    50 | 33401002
 3337022838 | 1362870146 |    50 | 33401003
 3337946359 | 852335969  |    50 | 33402002
 3337946359 | 852335969  |    50 | 33402003
 3337946359 | 852335969  |    50 | 33402002
 3337946359 | 852335969  |    50 | 33402003
 3337946359 | 852335969  |    50 | 33402002
 3337946359 | 852335969  |    50 | 33402003
 3337946359 | 852335969  |    40 | 33402002
 3337946359 | 852335969  |    40 | 33402003
 3338869880 | 341801792  |    50 | 33403002
 3338869880 | 341801792  |    50 | 33403003
 3338869880 | 341801792  |    50 | 33403002
 3338869880 | 341801792  |    50 | 33403003
 3338869880 | 341801792  |    50 | 33403002
 3338869880 | 341801792  |    50 | 33403003
 3338869880 | 341801792  |    25 | 33403002
 3338869880 | 341801792  |    25 | 33403003
 3339793401 | 4126234909 |    50 | 33404002
 3339793401 | 4126234909 |    50 | 33404003
 3339793401 | 4126234909 |    50 | 33404002
 3339793401 | 4126234909 |    50 | 33404003
 3339793401 | 4126234909 |    50 | 33404002
 3339793401 | 4126234909 |    50 | 33404003
 3340716922 | 3615700732 |    50 | 33405002
 3340716922 | 3615700732 |    50 | 33405003
 3340716922 | 3615700732 |    50 | 33405002
 3340716922 | 3615700732 |    50 | 33405003
 3340716922 | 3615700732 |    50 | 33405002
 3340716922 | 3615700732 |    50 | 33405003
 3344411006 | 1573564026 |    50 | 33409002
 3344411006 | 1573564026 |    50 | 33409003
 3344411006 | 1573564026 |    50 | 33409002
 3344411006 | 1573564026 |    50 | 33409003
 3344411006 | 1573564026 |    47 | 33409002
 3344411006 | 1573564026 |    47 | 33409003
 4171312755 | 2871651939 |    16 | 33501002
 4172236276 | 2361117762 |    18 | 33502002
 4174083318 | 1340049410 |    16 | 33504002
 4175930360 | 318981056  |    16 | 33506002
 4176853881 | 4103414173 |    16 | 33507002
 4177777402 | 3592879996 |    17 | 33508002
 4204559511 | 1672290753 |    16 | 33516002
 4205483032 | 1161756576 |    16 | 33517002
 4206406553 | 651222399  |    16 | 33518002
 646806016  | 178621946  |    60 | 31903002
 646806016  | 178621946  |    60 | 31903003
 646806016  | 178621946  |    60 | 31903002
 646806016  | 178621946  |    60 | 31903003
 652347142  | 1410384180 |    50 | 31909002
 652347142  | 1410384180 |    50 | 31909003
 652347142  | 1410384180 |    18 | 31909002
 652347142  | 1410384180 |    18 | 31909003
 673588125  | 2552999995 |    50 | 31911002
 673588125  | 2552999995 |    50 | 31911003
 673588125  | 2552999995 |    18 | 31911002
 673588125  | 2552999995 |    18 | 31911003
 677282209  | 510863289  |    50 | 31915002
 677282209  | 510863289  |    50 | 31915003
 677282209  | 510863289  |    18 | 31915002
 677282209  | 510863289  |    18 | 31915003
 700021748  | 2599455620 |   300 | 10001002
 700945269  | 2088921445 |   250 | 10002002
 700945269  | 2088921445 |   164 | 10002002
 701868790  | 1578387268 |   250 | 10003002
 701868790  | 1578387268 |   170 | 10003002
 702792311  | 1067853091 |   313 | 10004002
 703715832  | 557318914  |   400 | 10005002
 703715832  | 557318914  |   352 | 10005002
 704639353  | 46784737   |   250 | 10006002
 704639353  | 46784737   |   164 | 10006002
 705562874  | 3831217854 |   714 | 10007002
 706486395  | 3320683677 |   323 | 10008002
 707409916  | 2810149500 |   128 | 10009001
 727727378  | 168332200  | 247.5 | 10010002
 728650899  | 3952765317 |   248 | 10011002
 728650899  | 3952765317 |    84 | 10011002
 729574420  | 3442231140 |   250 | 10012002
 729574420  | 3442231140 |    38 | 10012002
 730497941  | 2931696963 |   250 | 10013002
 730497941  | 2931696963 |   250 | 10013003
 730497941  | 2931696963 |   190 | 10013002
 730497941  | 2931696963 |   190 | 10013003
 731421462  | 2421162786 |   250 | 10014002
 731421462  | 2421162786 |   250 | 10014003
 731421462  | 2421162786 |   152 | 10014002
 731421462  | 2421162786 |   152 | 10014003
 732344983  | 1910628611 |   348 | 10015002
 733268504  | 1400094434 |   340 | 10016002
 733268504  | 1400094434 |     8 | 10016002
 735115546  | 379026080  |   250 | 10018002
 735115546  | 379026080  |   156 | 10018002
 736039067  | 4163459197 |   250 | 10019002
 736039067  | 4163459197 |   174 | 10019002
 757280050  | 1011107720 |   250 | 10021002
 757280050  | 1011107720 |   174 | 10021002
 758203571  | 500573543  |   128 | 10022002
 759127092  | 4285006660 |   232 | 10023002
 760050613  | 3774472483 |   248 | 10024002
 760974134  | 3263938306 |   254 | 10025002
 761897655  | 2753404129 |   262 | 10026002
 762821176  | 2242869952 |   510 | 10027002
 763744697  | 1732335777 |   262 | 10028002
 764668218  | 1221801600 |   534 | 10029002
 784985680  | 2874951592 |   128 | 10030002
 785909201  | 2364417415 |   486 | 10031002
 786832722  | 1853883240 |   262 | 10032002
 787756243  | 1343349063 |   534 | 10033002
 788679764  | 832814886  |   208 | 10034002
 789603285  | 322280709  |   414 | 10035002
 790526806  | 4106713826 |   304 | 10036002
 791450327  | 3596179649 |   320 | 10037002
(118 rows)

